step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,4,0
10000,hunger,0,0,4,3,0
10000,hunger,0,4,0,5,0
10000,hunger,0,4,4,9,0
10000,hunger,0,4,8,3,0
10000,hunger,0,8,4,4,0
10000,hunger,0,8,8,8,0
10000,hunger,0,8,12,4,0
10000,hunger,0,8,16,3,0
10000,hunger,0,12,4,4,0
10000,hunger,0,12,8,3,0
10000,hunger,0,12,12,5,0
10000,hunger,0,12,16,3,0
10000,hunger,0,12,20,3,0
10000,hunger,0,12,24,1,0
10000,hunger,0,12,32,1,0
10000,hunger,0,16,4,2,0
10000,hunger,0,16,8,7,0
10000,hunger,0,16,12,3,0
10000,hunger,0,16,16,6,0
10000,hunger,0,16,20,2,0
10000,hunger,0,16,24,5,0
10000,hunger,0,16,28,12,0
10000,hunger,0,16,32,1,0
10000,hunger,0,16,36,2,0
10000,hunger,0,16,48,1,0
10000,hunger,0,20,8,1,0
10000,hunger,0,20,12,1,0
10000,hunger,0,20,16,5,0
10000,hunger,0,20,20,3,0
10000,hunger,0,20,24,6,0
10000,hunger,0,20,28,6,0
10000,hunger,0,20,32,5,0
10000,hunger,0,20,36,7,0
10000,hunger,0,20,40,5,0
10000,hunger,0,20,44,3,0
10000,hunger,0,24,8,1,0
10000,hunger,0,24,12,4,0
10000,hunger,0,24,20,6,0
10000,hunger,0,24,24,9,0
10000,hunger,0,24,28,11,0
10000,hunger,0,24,32,9,0
10000,hunger,0,24,36,2,0
10000,hunger,0,24,40,8,0
10000,hunger,0,24,44,58,0
10000,hunger,0,24,48,404,1
10000,hunger,0,24,52,7,0
10000,hunger,0,28,12,1,0
10000,hunger,0,28,16,2,0
10000,hunger,0,28,20,3,0
10000,hunger,0,28,24,9,0
10000,hunger,0,28,28,5,0
10000,hunger,0,28,32,3,0
10000,hunger,0,28,36,2,0
10000,hunger,0,28,40,9,0
10000,hunger,0,28,44,9,0
10000,hunger,0,28,48,13,0
10000,hunger,0,28,52,12,0
10000,hunger,0,28,56,11,0
