dry_lo,dry_hi,temp_lo,temp_hi,blocks,density
0,0.4,-99,0,79,0.05643
0,0.4,0,10,27,0.06287
0,0.4,10,20,29,0.0768
0,0.4,20,25,38,0.08437
0,0.4,25,30,85,0.08516
0,0.4,30,33,53,0.08602
0,0.4,33,99,20,0.0754
0.4,0.5,-99,0,38,0.03522
0.4,0.5,0,10,28,0.05087
0.4,0.5,10,20,46,0.06117
0.4,0.5,20,25,27,0.06721
0.4,0.5,25,30,23,0.06185
0.4,0.5,30,33,7,0.05985
0.4,0.5,33,99,16,0.04049
0.5,0.55,-99,0,13,0.02827
0.5,0.55,0,10,22,0.0403
0.5,0.55,10,20,32,0.04852
0.5,0.55,20,25,22,0.05425
0.5,0.55,25,30,18,0.05523
0.5,0.55,30,33,11,0.04373
0.5,0.55,33,99,15,0.03216
0.55,0.6,-99,0,13,0.02325
0.55,0.6,0,10,29,0.03395
0.55,0.6,10,20,27,0.04594
0.55,0.6,20,25,16,0.0508
0.55,0.6,25,30,19,0.04949
0.55,0.6,30,33,13,0.04111
0.55,0.6,33,99,13,0.02824
0.6,0.65,-99,0,18,0.01831
0.6,0.65,0,10,28,0.02961
0.6,0.65,10,20,34,0.03871
0.6,0.65,20,25,20,0.04431
0.6,0.65,25,30,18,0.04183
0.6,0.65,30,33,12,0.03224
0.6,0.65,33,99,18,0.02704
0.65,0.7,-99,0,16,0.01417
0.65,0.7,0,10,26,0.02437
0.65,0.7,10,20,25,0.03248
0.65,0.7,20,25,18,0.03598
0.65,0.7,25,30,20,0.03484
0.65,0.7,30,33,11,0.03285
0.65,0.7,33,99,11,0.02133
0.7,0.75,-99,0,20,0.0093
0.7,0.75,0,10,26,0.02001
0.7,0.75,10,20,30,0.02505
0.7,0.75,20,25,12,0.03142
0.7,0.75,25,30,11,0.02826
0.7,0.75,30,33,5,0.02109
0.7,0.75,33,99,10,0.01478
0.75,0.8,-99,0,33,0.00545
0.75,0.8,0,10,28,0.01248
0.75,0.8,10,20,17,0.01921
0.75,0.8,20,25,6,0.02636
0.75,0.8,25,30,10,0.02265
0.75,0.8,30,33,8,0.01456
0.75,0.8,33,99,9,0.00729
0.8,0.9,-99,0,66,0.00236
0.8,0.9,0,10,32,0.00768
0.8,0.9,10,20,19,0.0107
0.8,0.9,20,25,5,0.01563
0.8,0.9,25,30,17,0.01192
0.8,0.9,30,33,8,0.0092
0.8,0.9,33,99,23,0.00602
0.9,1.01,-99,0,222,8e-05
0.9,1.01,0,10,21,0.00095
0.9,1.01,10,20,20,0.00118
0.9,1.01,20,25,12,0.0008
0.9,1.01,25,30,4,0.00027
0.9,1.01,30,33,0,0.00027
0.9,1.01,33,99,0,0.00027
