step,measure,value,count
50000,hamming,2,247
50000,hamming,3,31
50000,hamming,4,198
50000,hamming,5,54
50000,hamming,6,154
50000,hamming,7,78
50000,hamming,8,123
50000,hamming,9,60
50000,hamming,10,80
50000,hamming,11,55
50000,hamming,12,52
50000,hamming,13,52
50000,hamming,14,48
50000,hamming,15,51
50000,hamming,16,56
50000,hamming,17,44
50000,hamming,18,71
50000,hamming,19,51
50000,hamming,20,54
50000,hamming,21,52
50000,hamming,22,45
50000,hamming,23,59
50000,hamming,24,45
50000,hamming,25,54
50000,hamming,26,45
50000,hamming,27,60
50000,hamming,28,53
50000,hamming,29,57
50000,hamming,30,46
50000,hamming,31,42
50000,hamming,32,49
50000,hamming,33,71
50000,hamming,34,71
50000,hamming,35,89
50000,hamming,36,88
50000,hamming,37,106
50000,hamming,38,74
50000,hamming,39,88
50000,hamming,40,100
50000,hamming,41,107
50000,hamming,42,160
50000,hamming,43,143
50000,hamming,44,195
50000,hamming,45,178
50000,hamming,46,205
50000,hamming,47,207
50000,hamming,48,208
50000,hamming,49,195
50000,hamming,50,217
50000,hamming,51,198
50000,hamming,52,207
50000,hamming,53,205
50000,hamming,54,186
50000,hamming,55,196
50000,hamming,56,226
50000,hamming,57,238
50000,hamming,58,225
50000,hamming,59,221
50000,hamming,60,227
50000,hamming,61,209
50000,hamming,62,206
50000,hamming,63,174
50000,hamming,64,188
50000,hamming,65,154
50000,hamming,66,163
50000,hamming,67,154
50000,hamming,68,144
50000,hamming,69,165
50000,hamming,70,132
50000,hamming,71,146
50000,hamming,72,139
50000,hamming,73,124
50000,hamming,74,129
50000,hamming,75,118
50000,hamming,76,119
50000,hamming,77,115
50000,hamming,78,115
50000,hamming,79,115
50000,hamming,80,103
50000,hamming,81,108
50000,hamming,82,116
50000,hamming,83,97
50000,hamming,84,101
50000,hamming,85,116
50000,hamming,86,113
50000,hamming,87,146
50000,hamming,88,137
50000,hamming,89,166
50000,hamming,90,152
50000,hamming,91,139
50000,hamming,92,111
50000,hamming,93,131
50000,hamming,94,121
50000,hamming,95,157
50000,hamming,96,139
50000,hamming,97,147
50000,hamming,98,126
50000,hamming,99,130
50000,hamming,100,116
50000,hamming,101,141
50000,hamming,102,158
50000,hamming,103,175
50000,hamming,104,170
50000,hamming,105,214
50000,hamming,106,209
50000,hamming,107,207
50000,hamming,108,195
50000,hamming,109,230
50000,hamming,110,238
50000,hamming,111,278
50000,hamming,112,300
50000,hamming,113,301
50000,hamming,114,319
50000,hamming,115,312
50000,hamming,116,329
50000,hamming,117,279
50000,hamming,118,275
50000,hamming,119,280
50000,hamming,120,269
50000,hamming,121,279
50000,hamming,122,279
50000,hamming,123,258
50000,hamming,124,285
50000,hamming,125,311
50000,hamming,126,294
50000,hamming,127,335
50000,hamming,128,301
