run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,e_grass,e_seed,e_browse,e_algae,e_litter,kills
control 9,plant / tooth / stays / bottom,litter,3,2.6262e-05,43.84,0.598,0,0,0,0,1,0,0,0,0,1,0.13987
control 9,flesh / no tooth / roams / surface,algae,2,1.7508e-05,35.88,0.6615,0,0,0,1,0,0,0,0,1,0,0.67638
control 9,flesh / tooth / roams / bottom,browse,1,8.754e-06,49.23,0.566,0.004877,0,0.60447,0,0.39066,0.004877,0,0.60447,0,0.39066,0.73932
control 10,mixed / no tooth / stays / bottom,litter,17049,0.14869,32,0.702,0.019846,0,0.00010418,3.9942e-05,0.98001,0.019846,0,0.00010418,3.9942e-05,0.98001,0.24485
control 10,mixed / tooth / roams / land,grass,12934,0.1128,37.515,0.647,0.48642,0,0.48159,0,0.031988,0.48642,0,0.48159,0,0.031988,0.46396
control 10,mixed / no tooth / stays / shore,litter,11647,0.10157,32,0.687,0.4401,0,0.0046974,0.00010598,0.5551,0.4401,0,0.0046974,0.00010598,0.5551,0.24288
control 10,plant / no tooth / stays / shore,grass,10210,0.089042,32.99,0.684,0.51689,0,0.0016733,0.080834,0.4006,0.51689,0,0.0016733,0.080834,0.4006,0.063
control 10,plant / no tooth / stays / bottom,litter,10008,0.08728,32,0.702,0.015052,0,3.9024e-07,0,0.98495,0.015052,0,3.9024e-07,0,0.98495,0.062812
control 10,mixed / no tooth / roams / shore,litter,8587,0.074888,32,0.701,0.23327,0,0.0029014,0.00053851,0.76329,0.23327,0,0.0029014,0.00053851,0.76329,0.4292
control 10,plant / no tooth / roams / surface,algae,6310,0.05503,27.99,0.743,0.010819,0,8.4606e-05,0.9891,0,0.010819,0,8.4606e-05,0.9891,0,0.16409
control 10,mixed / tooth / roams / shore,grass,6204,0.054105,38.58,0.639,0.56371,0,0.3182,0,0.11809,0.56371,0,0.3182,0,0.11809,0.45306
control 10,mixed / no tooth / roams / bottom,litter,6068,0.052919,32,0.701,0.02616,0,0.00014379,0,0.9737,0.02616,0,0.00014379,0,0.9737,0.39759
control 10,mixed / tooth / stays / land,grass,5653,0.0493,63.14,0.5,0.85912,0,0.10951,0.0013111,0.030055,0.85912,0,0.10951,0.0013111,0.030055,0.34107
control 10,mixed / tooth / stays / shore,grass,5249,0.045777,54.76,0.535,0.66704,0,0.11273,0.01128,0.20895,0.66704,0,0.11273,0.01128,0.20895,0.37517
control 10,plant / no tooth / stays / land,grass,4914,0.042855,73.335,0.465,0.98063,0,0.001954,0.00096755,0.016449,0.98063,0,0.001954,0.00096755,0.016449,0.062272
control 10,mixed / no tooth / stays / land,grass,1681,0.01466,53.32,0.545,0.96325,0,0.012659,0,0.024094,0.96325,0,0.012659,0,0.024094,0.21463
control 10,flesh / no tooth / roams / shore,litter,1570,0.013692,32,0.702,0.39275,0,0.0037527,0,0.60349,0.39275,0,0.0037527,0,0.60349,0.64246
control 10,plant / no tooth / roams / bottom,litter,1203,0.010491,32,0.704,0.0077381,0,8.6329e-07,0,0.99226,0.0077381,0,8.6329e-07,0,0.99226,0.15722
control 10,plant / no tooth / roams / shore,algae,1044,0.0091048,32,0.704,0.17082,0,0.0095311,0.70582,0.11383,0.17082,0,0.0095311,0.70582,0.11383,0.18198
control 10,plant / tooth / stays / land,grass,945,0.0082414,72,0.463,0.89299,0,0.094165,0.00046261,0.012379,0.89299,0,0.094165,0.00046261,0.012379,0.17306
control 10,flesh / no tooth / stays / bottom,litter,638,0.005564,26,0.7775,0.031236,0,0,0,0.96876,0.031236,0,0,0,0.96876,0.51583
control 10,plant / no tooth / stays / surface,algae,434,0.0037849,28.215,0.741,0.055622,0,0,0.94438,0,0.055622,0,0,0.94438,0,0.11229
control 10,flesh / tooth / roams / shore,grass,369,0.0032181,50,0.565,0.61594,0,0.2925,0,0.091555,0.61594,0,0.2925,0,0.091555,0.63511
control 10,flesh / no tooth / stays / shore,grass,298,0.0025989,32,0.702,0.5373,0,0.010451,0,0.45225,0.5373,0,0.010451,0,0.45225,0.66931
control 10,mixed / no tooth / roams / surface,algae,287,0.0025029,25,0.779,0.0016035,0,0,0.9984,0,0.0016035,0,0,0.9984,0,0.41471
control 10,flesh / tooth / roams / land,browse,250,0.0021803,40.95,0.6215,0.35973,0,0.62309,0,0.017181,0.35973,0,0.62309,0,0.017181,0.64297
control 10,flesh / no tooth / stays / land,grass,225,0.0019622,40,0.624,0.79631,0,0.098178,0,0.10551,0.79631,0,0.098178,0,0.10551,0.53244
control 10,flesh / no tooth / roams / bottom,litter,220,0.0019186,30.245,0.7175,0.045732,0,0,0,0.95427,0.045732,0,0,0,0.95427,0.65468
control 10,plant / tooth / roams / land,grass,109,0.0009506,59.99,0.514,0.8527,0,0.14226,0,0.0050362,0.8527,0,0.14226,0,0.0050362,0.26048
control 10,mixed / tooth / roams / bottom,litter,95,0.0008285,30,0.715,0.028523,0,0.0056648,0,0.96581,0.028523,0,0.0056648,0,0.96581,0.46072
control 10,plant / tooth / stays / surface,algae,88,0.00076745,32,0.6975,0.0096669,0,0,0.99033,0,0.0096669,0,0,0.99033,0,0.30877
control 10,mixed / no tooth / roams / land,grass,73,0.00063664,32,0.702,0.83606,0,0.0069273,0.018733,0.13828,0.83606,0,0.0069273,0.018733,0.13828,0.40299
control 10,plant / tooth / stays / shore,grass,65,0.00056687,69.95,0.468,0.79253,0,0.046945,0.088743,0.071777,0.79253,0,0.046945,0.088743,0.071777,0.18658
control 10,flesh / no tooth / roams / land,grass,61,0.00053198,32,0.703,0.92034,0,0.010107,0,0.069555,0.92034,0,0.010107,0,0.069555,0.7907
control 10,plant / no tooth / roams / land,grass,54,0.00047094,32,0.6985,0.88688,0,0,0.02541,0.087708,0.88688,0,0,0.02541,0.087708,0.11717
control 10,flesh / tooth / stays / land,grass,53,0.00046222,38,0.639,0.63843,0,0.33581,0,0.025763,0.63843,0,0.33581,0,0.025763,0.62656
control 10,plant / tooth / stays / bottom,litter,24,0.00020931,32.195,0.6915,7.3034e-19,0,0.0020278,0,0.99797,7.3034e-19,0,0.0020278,0,0.99797,0.063589
control 10,flesh / tooth / stays / shore,litter,15,0.00013082,81.02,0.444,0.065395,0,0.21013,0,0.72448,0.065395,0,0.21013,0,0.72448,0.59565
control 10,plant / tooth / roams / shore,grass,7,6.1047e-05,36,0.665,0.47813,0,0.28572,0,0.23615,0.47813,0,0.28572,0,0.23615,0.13701
control 10,mixed / tooth / stays / bottom,litter,6,5.2326e-05,42,0.6165,0,0,0,0,1,0,0,0,0,1,0.18096
control 10,flesh / tooth / stays / bottom,litter,5,4.3605e-05,41.71,0.618,0.0090214,0,0.00026276,0,0.99072,0.0090214,0,0.00026276,0,0.99072,0.76465
control 10,flesh / tooth / roams / bottom,litter,5,4.3605e-05,28.43,0.743,0.21623,0,0.016246,0,0.76752,0.21623,0,0.016246,0,0.76752,0.76237
control 10,plant / tooth / roams / bottom,litter,5,4.3605e-05,32,0.676,0.0011645,0,0.025349,0,0.97349,0.0011645,0,0.025349,0,0.97349,0.098162
control 10,mixed / no tooth / stays / surface,algae,2,1.7442e-05,35.99,0.66,0,0,0,1,0,0,0,0,1,0,0.34111
control 10,plant / tooth / roams / surface,algae,1,8.7211e-06,55.12,0.532,0,0,0,1,0,0,0,0,1,0,0
control 11,mixed / no tooth / roams / shore,litter,18332,0.16913,32,0.699,0.2726,0,9.5376e-05,0.0051125,0.72219,0.2726,0,9.5376e-05,0.0051125,0.72219,0.41743
control 11,mixed / no tooth / stays / bottom,litter,13075,0.12063,32,0.7,0.01431,0,2.156e-06,0,0.98569,0.01431,0,2.156e-06,0,0.98569,0.27425
control 11,plant / no tooth / stays / shore,litter,12598,0.11623,32,0.701,0.2921,0,0.00046386,0.01893,0.68851,0.2921,0,0.00046386,0.01893,0.68851,0.089405
control 11,mixed / tooth / roams / land,grass,12402,0.11442,35.4,0.667,0.59781,0,0.3661,0.0037365,0.032356,0.59781,0,0.3661,0.0037365,0.032356,0.46699
control 11,plant / no tooth / stays / bottom,litter,10141,0.093558,32,0.703,0.016793,0,2.873e-09,7.1824e-08,0.98321,0.016793,0,2.873e-09,7.1824e-08,0.98321,0.053603
control 11,mixed / no tooth / roams / bottom,litter,7820,0.072145,32,0.701,0.042954,0,1.6183e-05,0,0.95703,0.042954,0,1.6183e-05,0,0.95703,0.37212
control 11,plant / no tooth / roams / surface,algae,5893,0.054367,27.99,0.739,0.00976,0,2.2076e-05,0.98968,0.00053966,0.00976,0,2.2076e-05,0.98968,0.00053966,0.18407
control 11,mixed / no tooth / stays / shore,grass,5605,0.05171,32,0.695,0.51076,0,0.0030178,0,0.48622,0.51076,0,0.0030178,0,0.48622,0.20408
control 11,plant / no tooth / stays / land,grass,4103,0.037853,74.58,0.458,0.97936,0,0.0012652,0.0036546,0.015721,0.97936,0,0.0012652,0.0036546,0.015721,0.043312
control 11,mixed / tooth / stays / land,grass,3859,0.035602,59.87,0.514,0.89783,0,0.072947,0.00066255,0.028558,0.89783,0,0.072947,0.00066255,0.028558,0.36515
control 11,mixed / tooth / roams / shore,grass,2776,0.025611,35.165,0.669,0.55512,0,0.27783,0.0088987,0.15815,0.55512,0,0.27783,0.0088987,0.15815,0.43419
control 11,flesh / no tooth / roams / shore,litter,2482,0.022898,32,0.701,0.42736,0,0.00014023,0,0.5725,0.42736,0,0.00014023,0,0.5725,0.63864
control 11,plant / no tooth / roams / shore,algae,1959,0.018073,30,0.72,0.2595,0,0.00072157,0.49183,0.24795,0.2595,0,0.00072157,0.49183,0.24795,0.1643
control 11,mixed / no tooth / stays / land,grass,1609,0.014844,49.44,0.566,0.96573,0,0.0043711,0.00018384,0.029711,0.96573,0,0.0043711,0.00018384,0.029711,0.13652
control 11,plant / no tooth / roams / bottom,litter,1132,0.010443,32,0.703,0.0051869,0,0,0,0.99481,0.0051869,0,0,0,0.99481,0.16237
control 11,flesh / no tooth / roams / bottom,litter,886,0.008174,32,0.702,0.031838,0,0,0,0.96816,0.031838,0,0,0,0.96816,0.65592
control 11,mixed / tooth / stays / shore,grass,875,0.0080725,53.94,0.54,0.79554,0,0.093842,0.00066567,0.10995,0.79554,0,0.093842,0.00066567,0.10995,0.3395
control 11,flesh / no tooth / stays / shore,litter,701,0.0064672,32,0.697,0.4328,0,0.013574,0,0.55362,0.4328,0,0.013574,0,0.55362,0.59635
control 11,flesh / no tooth / stays / bottom,litter,552,0.0050926,32,0.702,0.0019609,0,0,0,0.99804,0.0019609,0,0,0,0.99804,0.46667
control 11,plant / no tooth / stays / surface,algae,277,0.0025555,26,0.768,0.00041628,0,0,0.99958,0,0.00041628,0,0,0.99958,0,0.085595
control 11,mixed / no tooth / roams / surface,algae,266,0.002454,26.46,0.768,0.020887,0,0.0016224,0.97634,0.0011529,0.020887,0,0.0016224,0.97634,0.0011529,0.36572
control 11,plant / tooth / stays / land,grass,235,0.002168,73.69,0.464,0.93203,0,0.035798,6.2046e-06,0.032169,0.93203,0,0.035798,6.2046e-06,0.032169,0.19526
control 11,flesh / no tooth / roams / land,grass,158,0.0014577,32,0.703,0.90084,0,0.0045526,0,0.094605,0.90084,0,0.0045526,0,0.094605,0.67288
control 11,mixed / no tooth / roams / land,grass,130,0.0011993,32,0.6935,0.92347,0,0.0047029,0,0.071826,0.92347,0,0.0047029,0,0.071826,0.35272
control 11,plant / no tooth / roams / land,grass,102,0.00094102,32,0.703,0.96824,0,9.1897e-06,0.0064364,0.025318,0.96824,0,9.1897e-06,0.0064364,0.025318,0.10387
control 11,flesh / tooth / roams / shore,grass,96,0.00088567,31.1,0.712,0.5326,0,0.15694,0.0089567,0.3015,0.5326,0,0.15694,0.0089567,0.3015,0.63838
control 11,plant / tooth / stays / shore,grass,77,0.00071038,70.39,0.473,0.76009,0,0.016464,0.21874,0.0047106,0.76009,0,0.016464,0.21874,0.0047106,0.23774
control 11,flesh / tooth / roams / land,browse,66,0.0006089,41.375,0.617,0.33757,0,0.6558,0,0.0066331,0.33757,0,0.6558,0,0.0066331,0.70006
control 11,flesh / no tooth / stays / land,grass,49,0.00045206,32,0.699,0.71979,0,0,0,0.28021,0.71979,0,0,0,0.28021,0.35364
control 11,plant / tooth / roams / land,grass,48,0.00044283,57.005,0.52,0.86345,0,0.10858,0.0066425,0.021327,0.86345,0,0.10858,0.0066425,0.021327,0.23832
control 11,plant / tooth / roams / surface,algae,39,0.0003598,32.52,0.693,2.6229e-18,0,0.00043838,0.99956,0,2.6229e-18,0,0.00043838,0.99956,0,0.17588
control 11,plant / tooth / roams / shore,grass,14,0.00012916,43.88,0.598,0.63858,0,0.19104,0.12549,0.044889,0.63858,0,0.19104,0.12549,0.044889,0.19042
control 11,flesh / tooth / stays / shore,litter,9,8.3031e-05,54.22,0.542,0.41433,0,0.0057645,0,0.57991,0.41433,0,0.0057645,0,0.57991,0.71468
control 11,mixed / tooth / stays / bottom,litter,6,5.5354e-05,32.05,0.7025,0,0,0,0,1,0,0,0,0,1,0.44214
control 11,flesh / tooth / stays / land,grass,5,4.6128e-05,41.03,0.618,0.96807,0,0.031928,0,0,0.96807,0,0.031928,0,0,0.65752
control 11,mixed / tooth / roams / bottom,litter,5,4.6128e-05,34.88,0.667,0.031991,0,0.046245,0,0.92176,0.031991,0,0.046245,0,0.92176,0.34374
control 11,plant / tooth / stays / surface,algae,5,4.6128e-05,51.18,0.55,0.043668,0,0.00025631,0.95608,0,0.043668,0,0.00025631,0.95608,0,0.25111
control 11,mixed / tooth / roams / surface,algae,3,2.7677e-05,31,0.714,0.045857,0,0.16882,0.78532,0,0.045857,0,0.16882,0.78532,0,0.62469
control 11,mixed / no tooth / stays / surface,algae,2,1.8451e-05,47.12,0.594,0,0,0,1,0,0,0,0,1,0,0.64711
control 11,flesh / tooth / roams / surface,algae,1,9.2257e-06,29,0.741,0.29864,0,0.21071,0.49064,0,0.29864,0,0.21071,0.49064,0,0.76295
D+B+Fb 9,plant / no tooth / stays / bottom,litter,38548,0.21855,32,0.7,0.0099495,0.00018601,3.8183e-07,2.5719e-05,0.98984,0.0066679,0.00029698,3.2096e-07,3.1603e-05,0.993,0.065168
D+B+Fb 9,plant / no tooth / stays / shore,litter,24072,0.13648,34.44,0.666,0.37938,0.023285,0.00084992,0.017481,0.57901,0.29299,0.040668,0.00068299,0.023654,0.642,0.072658
D+B+Fb 9,plant / tooth / stays / land,grass,17121,0.097067,47.95,0.571,0.67473,0.24672,0.046942,0.0019368,0.029673,0.5099,0.42036,0.034354,0.0025808,0.032803,0.18974
D+B+Fb 9,plant / no tooth / roams / bottom,litter,12945,0.073391,32,0.694,0.013929,0.00012521,8.7664e-07,0,0.98594,0.0092066,0.00019909,6.441e-07,0,0.99059,0.15201
D+B+Fb 9,mixed / tooth / roams / land,grass,12623,0.071566,41.95,0.611,0.5969,0.19231,0.18792,0.00054197,0.022325,0.4663,0.36049,0.14593,0.00079035,0.026484,0.37396
D+B+Fb 9,mixed / no tooth / roams / shore,litter,12554,0.071175,32,0.699,0.25524,0.00035733,1.257e-06,0,0.7444,0.18261,0.00062433,1.1213e-06,0,0.81676,0.39944
D+B+Fb 9,plant / no tooth / roams / surface,algae,11313,0.064139,31.98,0.699,0.030634,0.0015185,3.4212e-05,0.96781,0,0.01638,0.0019796,1.9135e-05,0.98162,0,0.064058
D+B+Fb 9,mixed / no tooth / roams / bottom,litter,8258,0.046819,32,0.7,0.021502,1.4192e-05,0,0,0.97848,0.014045,2.2836e-05,0,0,0.98593,0.37945
D+B+Fb 9,plant / tooth / roams / land,grass,7773,0.044069,41.14,0.616,0.64466,0.22544,0.099759,0.0014507,0.028684,0.48496,0.40569,0.0747,0.0020272,0.032622,0.25841
D+B+Fb 9,mixed / no tooth / stays / bottom,litter,5771,0.032719,32,0.703,0.013795,6.0504e-05,2.9426e-08,0,0.98614,0.0093374,9.6938e-05,1.6231e-08,0,0.99057,0.28835
D+B+Fb 9,plant / no tooth / stays / land,grass,4857,0.027537,51.19,0.554,0.81998,0.1235,0.0024058,0.0011335,0.052981,0.70554,0.22712,0.0020634,0.0016331,0.063646,0.06724
D+B+Fb 9,plant / no tooth / roams / shore,litter,4505,0.025541,32,0.69,0.39577,0.0090966,0.00015228,0.2277,0.36728,0.28948,0.015469,0.00010912,0.30001,0.39493,0.16868
D+B+Fb 9,plant / tooth / stays / shore,grass,4063,0.023035,55.95,0.529,0.54137,0.19924,0.017827,0.010934,0.23063,0.40239,0.32695,0.013101,0.013902,0.24365,0.15074
D+B+Fb 9,mixed / no tooth / stays / shore,litter,2398,0.013595,32,0.694,0.19622,0.0061349,0.0006694,0,0.79698,0.14197,0.010306,0.00052784,0,0.8472,0.30572
D+B+Fb 9,mixed / tooth / stays / land,grass,2070,0.011736,62.575,0.503,0.65235,0.26154,0.040674,0,0.045428,0.4891,0.4323,0.029223,0,0.049383,0.37287
D+B+Fb 9,mixed / tooth / stays / shore,grass,1849,0.010483,72.59,0.466,0.57887,0.26796,0.029694,0,0.12348,0.4263,0.424,0.02164,0,0.12806,0.39357
D+B+Fb 9,mixed / tooth / roams / shore,grass,1539,0.0087253,44.22,0.597,0.55863,0.23198,0.059442,0.0072111,0.14274,0.40717,0.38968,0.041572,0.009492,0.15208,0.35932
D+B+Fb 9,plant / tooth / roams / shore,grass,943,0.0053463,41.77,0.612,0.51698,0.17765,0.104,0.1144,0.086971,0.37437,0.3048,0.074073,0.15201,0.094743,0.24419
D+B+Fb 9,plant / tooth / roams / surface,algae,728,0.0041274,30.5,0.711,0.021973,0.010281,1.0757e-06,0.96774,0,0.011318,0.013366,5.9462e-07,0.97532,0,0.17414
D+B+Fb 9,flesh / no tooth / stays / bottom,litter,681,0.0038609,32,0.703,0.019551,0,0,0,0.98045,0.012202,0,0,0,0.9878,0.60183
D+B+Fb 9,flesh / no tooth / stays / shore,litter,445,0.0025229,32,0.704,0.084053,0.0023926,1.9482e-05,0,0.91353,0.056633,0.0039529,1.2351e-05,0,0.9394,0.70954
D+B+Fb 9,flesh / no tooth / roams / shore,litter,408,0.0023131,32,0.707,0.36675,0.0034347,1.8148e-05,0,0.6298,0.27458,0.0063051,1.3307e-05,0,0.7191,0.72421
D+B+Fb 9,plant / no tooth / stays / surface,algae,401,0.0022735,29.63,0.733,0.065923,6.5967e-05,0,0.93401,0,0.038092,8.7789e-05,0,0.96182,0,0.047466
D+B+Fb 9,flesh / no tooth / roams / bottom,litter,178,0.0010092,32,0.702,0.032086,0,0,0,0.96791,0.021061,0,0,0,0.97894,0.70409
D+B+Fb 9,plant / no tooth / roams / land,grass,92,0.00052159,32,0.693,0.94519,0.041049,0,0.0001297,0.01363,0.88559,0.093694,0,0.00023399,0.020484,0.10494
D+B+Fb 9,flesh / no tooth / stays / land,grass,61,0.00034584,30,0.721,1,0,0,0,0,1,0,0,0,0,0.67472
D+B+Fb 9,plant / tooth / stays / surface,algae,52,0.00029481,30.5,0.7125,0,0,0,1,0,0,0,0,1,0,0.17567
D+B+Fb 9,flesh / no tooth / roams / land,grass,44,0.00024946,31,0.7085,0.96604,0,0,0,0.033958,0.94805,0,0,0,0.051952,0.73209
D+B+Fb 9,mixed / no tooth / stays / land,litter,36,0.0002041,50,0.5615,0.44585,0.15707,0.0032849,0,0.3938,0.35048,0.2481,0.001923,0,0.39949,0.27807
D+B+Fb 9,mixed / no tooth / roams / land,grass,36,0.0002041,32,0.6925,0.80202,0.1349,0.013454,0.008769,0.040864,0.65592,0.26748,0.011732,0.01333,0.051542,0.38896
D+B+Fb 9,plant / tooth / stays / bottom,litter,8,4.5356e-05,34,0.677,0.13982,0.047477,0.00017294,0,0.81253,0.10309,0.074695,0.00012751,0,0.82209,0.087439
D+B+Fb 9,flesh / tooth / stays / land,seed,4,2.2678e-05,40.735,0.627,0.52885,0.26618,0.20496,0,0,0.3833,0.46645,0.15025,0,0,0.60902
D+B+Fb 9,plant / tooth / roams / bottom,litter,4,2.2678e-05,39.905,0.63,0,0,0,0,1,0,0,0,0,1,0.041057
D+B+Fb 9,flesh / tooth / roams / land,seed,2,1.1339e-05,27,0.766,0.70385,0.29615,0,0,0,0.49067,0.50933,0,0,0,0.77321
D+B+Fb 9,mixed / tooth / stays / bottom,litter,1,5.6695e-06,36.94,0.649,0.0057122,0.00093473,0,0,0.99335,0.0037902,0.0014624,0,0,0.99475,0.33683
D+B+Fb 10,plant / no tooth / stays / bottom,litter,26584,0.20626,30,0.707,0.023315,0.0010346,5.0109e-05,0,0.9756,0.015595,0.0016645,3.2876e-05,0,0.98271,0.080129
D+B+Fb 10,plant / no tooth / stays / shore,litter,14457,0.11217,39.78,0.629,0.33953,0.036041,0.0022824,0.050713,0.57143,0.25923,0.060503,0.0017762,0.066388,0.6121,0.074368
D+B+Fb 10,plant / tooth / stays / land,grass,13543,0.10508,56.01,0.53,0.67307,0.23839,0.050317,0.0076341,0.030586,0.5158,0.40253,0.03768,0.010123,0.033872,0.19435
D+B+Fb 10,plant / tooth / stays / shore,grass,7620,0.059122,46.63,0.581,0.56351,0.19287,0.036617,0.032755,0.17425,0.4212,0.32272,0.026362,0.04281,0.18691,0.19086
D+B+Fb 10,mixed / tooth / roams / land,grass,7329,0.056865,44.08,0.597,0.5495,0.18837,0.22167,0.00019474,0.040268,0.43289,0.347,0.17292,0.00028483,0.04691,0.34557
D+B+Fb 10,plant / no tooth / roams / bottom,litter,7268,0.056391,30,0.715,0.015924,0.00030013,2.7309e-05,0,0.98375,0.010313,0.00048411,1.9488e-05,0,0.98918,0.14778
