step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom
11000,11187,3841,35459,66035,55792,30203,373,23895,2461,10,313229,2773717,26176.691,10189.313,0.2919,4473.928,0.130,0.735,0.054,0.080,0.476,0.375,1147,0.0953,0.7147,0.185,14.9,32.0,67.8,31.42,0.83,10.26,0.35,19.98,7.15,1.175,0.276,0.039,0.045,8.835,0.407,0.0032,182,635,1618,18600,484,14,0.324,6308,80,1115,9992,1037,2262,7888,6.90,22.89,10311,16.0243,66779,4425,249735,1299.9,-0.0,784404,17.273,2631002.543,2.83e-15,0.00052,16.93,21782,24.139,1.736,21.828,0.575,24.139,4526,3327,3334,0.3594,0.976,1.064,1.542,1.280,0.981,1.227,10228.252,6521.419,12359.372,10029.147,8262.100,2564.007,1345.501,1805.877,0.499,0.498,0.432,0.568,0.346,0.421,3733,5837,0.4431,1.0000,1.0000,0.1180,0.9999,1.0000,0.7507,1.1264,0.9977,0.0334,0.0154,0.0236,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,1223,0.9999,0.9360,0.8625,0.9966,0.0510,0.0769
12000,10614,4206,40249,79988,68071,39346,393,25513,2771,15,367470,3335294,29941.333,13445.250,0.3013,6524.852,0.126,0.743,0.054,0.077,0.499,0.361,1540,0.1067,0.7131,0.203,14.8,32.0,68.4,30.53,1.10,9.71,0.34,19.38,7.02,1.173,0.275,0.044,0.052,9.423,0.460,0.0031,170,578,1522,18838,463,13,0.408,6000,237,1341,9036,678,1379,8557,5.48,20.37,8607,16.1784,67006,4300,232618,1448.8,-0.0,804839,18.589,2631002.543,4.60e-15,0.00010,31.67,26659,27.887,1.742,25.589,0.556,27.887,3620,3624,3370,0.4015,0.972,1.048,1.556,1.313,0.977,1.233,10257.276,6624.715,18046.042,10037.402,8382.741,3908.377,1286.155,1725.866,0.513,0.525,0.455,0.597,0.337,0.431,3602,11391,0.4281,1.0000,0.9997,0.1047,0.9999,0.9998,0.7057,1.1042,1.0098,0.0605,0.0130,0.0237,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,1132,0.9994,0.8990,0.8629,0.9976,0.0546,0.0869
13000,10815,4044,36444,66944,56326,30115,385,26056,2461,12,279850,3115787,26061.205,10316.073,0.3119,4861.394,0.135,0.732,0.052,0.081,0.489,0.369,1224,0.1021,0.7291,0.192,14.0,31.0,62.3,28.94,0.90,8.72,0.44,18.87,6.97,1.181,0.259,0.035,0.041,8.786,0.468,0.0032,189,629,1462,17053,350,17,0.276,5881,335,1218,9262,1074,1662,8079,6.75,22.15,9953,15.1105,67054,4169,217666,863.6,0.0,820314,18.562,2631002.543,5.49e-15,0.00080,10.33,21889,25.217,1.752,22.902,0.562,25.217,4075,3379,3361,0.4001,0.968,1.048,1.583,1.279,0.983,1.261,10469.405,6623.090,12252.317,10265.978,8404.304,2171.472,1346.966,1936.240,0.501,0.520,0.446,0.572,0.328,0.418,3332,6403,0.4135,1.0000,1.0000,0.1170,0.9998,0.9999,0.7696,1.1446,1.0665,0.0427,0.0197,0.0232,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,1311,0.9996,0.9419,0.8897,0.9975,0.0584,0.0826
14000,11451,4192,39121,77068,66884,37449,498,26071,2238,9,266689,3152353,28576.581,11243.149,0.3079,6110.882,0.138,0.706,0.063,0.093,0.503,0.367,1084,0.0866,0.7257,0.199,14.0,31.0,69.6,29.72,0.97,9.41,0.46,18.89,7.03,1.188,0.267,0.038,0.042,9.096,0.444,0.0032,179,603,1504,16292,436,20,0.349,6353,242,1596,9613,1447,1294,8710,5.40,20.09,7865,13.8279,67091,4489,206193,936.0,-0.0,835037,18.418,2631002.543,8.85e-15,0.00178,33.24,24690,26.050,1.747,23.658,0.646,26.050,4036,3818,3597,0.4013,0.971,1.037,1.628,1.345,0.982,1.229,10542.505,6643.907,16001.482,10332.830,8353.151,2163.642,1404.083,1564.541,0.504,0.552,0.452,0.615,0.340,0.412,3344,9027,0.4578,1.0000,0.9999,0.1085,0.9998,0.9998,0.7184,1.1593,1.0290,0.0467,0.0184,0.0247,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,1140,0.9999,0.9581,0.8901,0.9979,0.0531,0.0739
15000,10916,4191,35408,61483,50687,25730,345,25848,2781,24,300443,3260601,25762.291,10489.624,0.3204,4474.059,0.138,0.714,0.057,0.090,0.509,0.359,1502,0.0939,0.7275,0.189,12.0,29.8,62.4,27.74,0.69,9.10,0.47,17.48,6.97,1.177,0.280,0.038,0.044,9.107,0.472,0.0031,195,658,1606,17377,417,20,0.234,6175,46,1737,9133,668,1204,9044,5.94,20.22,7799,11.4101,67106,4842,197281,857.7,-0.0,846825,18.796,2631002.543,8.67e-15,0.00041,23.67,20709,26.012,1.746,23.652,0.613,26.012,2810,4151,3955,0.4305,0.970,1.025,1.658,1.378,0.981,1.239,10866.984,7222.569,10463.860,10667.605,9104.884,2630.029,1627.505,1758.032,0.484,0.552,0.480,0.502,0.345,0.431,3345,6124,0.5046,1.0000,0.9998,0.1276,0.9999,0.9998,0.7605,1.1430,1.0507,0.0314,0.0157,0.0275,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,1166,0.9996,0.9428,0.8855,0.9976,0.0535,0.0730
16000,11175,4281,35655,63030,52478,26991,384,26669,2935,9,280586,3342180,25258.775,9915.045,0.3282,4160.220,0.129,0.708,0.055,0.108,0.519,0.352,1565,0.0907,0.7531,0.195,11.9,29.0,62.2,27.26,0.65,9.39,0.42,16.81,6.95,1.177,0.287,0.037,0.042,9.008,0.472,0.0032,187,659,1527,19102,439,18,0.268,6241,55,1889,9231,524,1690,8961,5.62,19.98,10424,13.0095,67011,4806,190314,611.1,-0.0,852933,18.688,2631002.543,1.15e-14,0.00113,15.34,20949,25.441,1.743,23.050,0.648,25.441,3069,4119,3987,0.4490,0.957,1.019,1.692,1.328,0.983,1.262,11816.145,7659.028,7887.166,11634.511,9897.318,1701.750,1750.190,2302.885,0.460,0.570,0.494,0.521,0.356,0.454,3262,4241,0.5569,0.9999,1.0000,0.1630,0.9998,0.9999,0.7577,1.1673,1.0672,0.0339,0.0165,0.0204,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,1542,0.9996,0.9504,0.8728,0.9975,0.0493,0.0712
17000,13202,4749,41817,78373,66327,36201,355,26816,3318,11,354807,3598384,31118.792,12994.914,0.3170,5965.938,0.121,0.722,0.060,0.097,0.514,0.354,1760,0.0847,0.7289,0.179,12.8,31.6,65.2,29.40,0.98,9.56,0.44,18.42,6.99,1.221,0.285,0.041,0.047,8.798,0.440,0.0030,178,621,1599,21043,432,20,0.426,7348,102,2121,10979,1105,2084,10013,5.27,19.62,8054,14.6806,67099,4985,183113,1213.8,-0.0,862567,19.287,2631002.543,1.77e-15,0.00111,36.12,26692,29.228,1.742,26.592,0.894,29.228,4473,4572,4157,0.4185,0.961,1.037,1.748,1.379,0.978,1.319,11514.062,7491.516,16272.403,11331.155,9481.172,2762.005,1792.190,2474.781,0.488,0.578,0.469,0.585,0.325,0.416,3582,8032,0.4501,1.0000,0.9997,0.1159,0.9999,0.9999,0.7150,1.1249,1.0340,0.0442,0.0190,0.0323,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,1613,0.9992,0.9333,0.8652,0.9970,0.0457,0.0646
18000,12041,4740,40407,69138,56610,28400,331,28336,3707,23,360000,3714492,28037.247,12746.489,0.3333,5246.326,0.117,0.736,0.058,0.089,0.509,0.357,1573,0.0989,0.7296,0.197,13.0,31.0,67.3,28.36,0.71,9.23,0.42,17.99,6.84,1.266,0.280,0.036,0.041,9.134,0.460,0.0031,186,640,1715,22985,409,21,0.350,6676,185,1421,10435,1109,1315,9617,6.50,21.14,8516,13.2687,67080,4869,173559,903.4,-0.0,874188,20.020,2631002.543,4.96e-15,0.00052,9.52,23740,29.055,1.747,26.486,0.822,29.055,3693,3966,4382,0.3760,0.977,1.059,1.791,1.493,0.982,1.330,11359.643,7958.345,12019.281,11195.953,10068.339,3080.999,1797.979,2621.185,0.468,0.574,0.473,0.503,0.318,0.410,3494,7641,0.4470,1.0000,0.9997,0.1104,0.9998,0.9999,0.7246,1.1357,1.0436,0.0330,0.0177,0.0228,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,1861,0.9993,0.9244,0.8632,0.9963,0.0505,0.0613
19000,12074,4377,38622,66045,54158,27081,342,26608,3148,15,311017,3564478,26871.056,10990.939,0.3338,4502.692,0.107,0.748,0.056,0.089,0.509,0.354,1742,0.0974,0.7370,0.210,13.5,31.0,64.5,27.74,0.72,9.80,0.53,16.69,6.82,1.254,0.291,0.034,0.039,8.613,0.420,0.0030,186,653,1576,20704,424,19,0.180,6791,698,1466,9910,786,1908,9380,7.00,22.63,12632,17.8105,67046,4734,165959,1022.7,-0.0,879066,18.939,2631002.543,9.91e-15,0.00001,24.64,22942,27.599,1.731,25.073,0.795,27.600,4216,3850,4008,0.3721,0.979,1.059,1.791,1.424,0.984,1.334,10710.644,7802.224,10987.390,10532.441,9853.916,2253.849,1790.784,2443.614,0.482,0.561,0.479,0.465,0.331,0.447,3417,7296,0.4213,1.0000,0.9998,0.1136,0.9998,1.0000,0.8163,1.1419,1.0388,0.0374,0.0171,0.0194,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,1522,0.9996,0.9453,0.8679,0.9979,0.0531,0.0687
20000,12052,4331,44438,86348,73504,41539,371,25647,3509,15,387434,3790453,31708.133,14551.865,0.3122,6993.212,0.106,0.740,0.066,0.088,0.523,0.341,1632,0.0996,0.7197,0.208,14.3,31.0,64.7,28.30,0.76,9.76,0.70,17.09,6.84,1.245,0.291,0.035,0.039,8.883,0.446,0.0028,167,604,1605,21723,438,18,0.212,6798,587,1063,10402,932,1277,9843,6.75,22.22,8865,15.6604,67050,4622,160175,976.4,-0.0,890530,18.979,2631002.543,6.73e-15,0.00000,20.54,29701,31.488,1.724,28.979,0.785,31.528,3825,4099,4128,0.3999,0.979,1.037,1.833,1.469,0.984,1.296,10183.428,7189.430,19599.147,10036.536,9065.662,3626.609,1600.043,2332.002,0.532,0.569,0.467,0.567,0.318,0.452,3724,13917,0.4566,1.0000,1.0000,0.0758,0.9999,1.0000,0.7580,1.1522,1.0287,0.0385,0.0156,0.0234,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,1372,0.9999,0.9448,0.8610,0.9980,0.0525,0.0744
21000,11369,4342,36861,62805,50480,25682,262,24908,3187,11,322539,3472808,26440.333,11276.183,0.3372,4479.297,0.092,0.749,0.065,0.094,0.508,0.349,1533,0.1056,0.7316,0.211,13.0,29.0,61.7,26.66,0.54,9.74,0.59,15.79,6.75,1.259,0.306,0.029,0.032,8.933,0.438,0.0029,187,658,1412,19689,351,18,0.513,6332,55,1186,10128,863,1443,9063,7.50,23.68,8949,13.2887,66934,4794,154872,953.5,-0.0,897800,18.415,2631002.543,1.42e-14,0.00048,8.53,22148,28.203,1.753,25.686,0.764,28.204,3442,3965,3962,0.4014,0.975,1.041,1.873,1.496,0.981,1.330,10180.725,7501.334,11653.199,10028.385,9238.046,2793.565,1564.328,2438.993,0.463,0.577,0.471,0.478,0.304,0.440,3514,8147,0.4779,1.0000,0.9998,0.1020,0.9999,1.0000,0.8197,1.1782,1.0386,0.0284,0.0154,0.0161,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251,1291,0.9997,0.9593,0.8679,0.9965,0.0492,0.0641
22000,10719,4399,36864,63298,51535,26200,234,24216,3307,4,302767,3405458,25639.561,11314.072,0.3476,4735.832,0.098,0.736,0.072,0.093,0.514,0.344,1626,0.1086,0.7397,0.218,13.0,29.8,62.8,26.25,0.54,10.21,0.47,15.04,6.67,1.295,0.316,0.029,0.035,9.224,0.449,0.0029,177,642,1554,19625,399,18,0.344,6163,59,1491,9169,626,1451,8642,7.25,24.45,11358,15.6403,66987,4818,150645,781.3,-0.0,901531,17.790,2631002.543,3.89e-15,0.00098,31.86,22993,27.497,1.769,25.000,0.727,27.497,3392,3744,3583,0.4004,0.984,1.052,1.914,1.535,0.986,1.390,10341.268,7046.192,11252.309,10189.589,8933.495,2180.205,1717.746,2680.290,0.466,0.580,0.477,0.479,0.296,0.465,3642,8797,0.5040,0.9999,1.0000,0.1084,0.9999,0.9999,0.8285,1.1787,1.0618,0.0310,0.0123,0.0168,0.0000,0.7820,0.9505,0.1297,0.7226,0.9534,0.00249,1190,0.9996,0.9669,0.8825,0.9969,0.0487,0.0631
23000,12708,4854,43157,76596,62967,33158,281,26148,3697,10,361999,3695237,29611.194,13039.091,0.3421,5299.259,0.101,0.741,0.067,0.091,0.509,0.348,2417,0.1000,0.7327,0.212,14.3,30.1,59.7,26.22,0.55,9.82,0.52,15.34,6.63,1.317,0.303,0.027,0.032,8.655,0.441,0.0029,167,630,1580,22615,501,15,0.229,7078,128,1504,11076,666,1814,10228,7.25,23.64,12271,18.0261,67073,4731,146660,997.9,-0.0,905257,18.849,2631002.543,1.45e-14,0.00023,11.13,28137,36.928,2.002,33.808,1.118,36.928,4323,4178,4207,0.3674,0.991,1.062,1.958,1.599,0.986,1.357,10950.582,7581.992,14602.788,10830.028,9477.637,3023.029,2039.220,2677.583,0.484,0.567,0.469,0.531,0.295,0.414,3548,9983,0.4687,1.0000,0.9998,0.0786,0.9999,0.9999,0.8367,1.1587,1.0538,0.0317,0.0138,0.0155,0.0000,0.0000,0.7341,0.2065,0.6514,0.9419,0.00249,1330,0.9996,0.9582,0.8713,0.9975,0.0488,0.0542
24000,12369,4743,39994,71453,58490,31191,268,26687,3477,8,333462,3555095,30502.866,11924.983,0.3369,4902.671,0.103,0.734,0.060,0.103,0.501,0.354,1724,0.1026,0.7259,0.203,15.3,31.8,62.5,30.78,0.83,9.59,0.95,19.41,6.95,1.239,0.293,0.033,0.036,9.425,0.427,0.0029,183,665,1734,20125,485,16,0.293,6786,200,1881,10288,1178,1937,9254,7.00,24.35,13371,20.1796,67159,4897,143069,1557.4,-0.0,907949,19.462,2631002.543,2.37e-14,0.00022,20.30,25841,32.299,1.789,29.548,0.962,32.299,4455,3982,3932,0.4435,0.911,1.026,1.948,1.359,0.987,1.358,10774.265,7532.693,15555.502,10636.529,9213.506,2643.178,1958.931,2420.203,0.482,0.553,0.465,0.555,0.289,0.393,3514,9027,0.4280,0.9999,1.0000,0.0876,0.9999,0.9999,0.6586,1.1466,1.0673,0.0428,0.0114,0.0147,0.0000,0.4606,0.9382,0.0748,0.6367,0.9467,0.00249,1134,0.9997,0.9568,0.8893,0.9967,0.0485,0.0577
