step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,medium,algae,detritus,water,drank,open_soft,cells
10000,1026273,1,6155,3558,2.37,2,7,1.183,49,59.15,1,0,0,48,0,0,0,0,2,0,0,1.00,0.000,0.438,6.183,105.364,158.435,0.000,158.435,0.00,0.00,34,1.000,11,11,37.8,0.000,-13,2,0.000,105.364,1.000,0,6,0000000000000000000000000000000000000440000000000
10000,1026711,1108,6149,3232,10.06,10,8,1.006,59,65.41,6,0,0,53,0,0,0,0,10,0,0,1.00,0.000,2.867,50.316,293.180,210.651,0.000,210.651,0.00,0.00,35,1.000,11,11,37.8,0.000,-31,2,0.000,293.180,1.000,0,26,0000000000000000000000000000000000004440000040440004044000004000
10000,1026798,1020,6148,3013,43.28,25,7,1.056,49,73.90,24,0,6,19,0,16,0,0,9,0,0,4.64,0.000,0.403,100.895,224.313,164.581,36.420,128.161,0.00,0.00,19,0.608,11,11,35.3,0.000,-79,2,0.000,224.313,1.000,0,23,4040004114400400014401111104111110000110000001000
10000,1031933,1,6079,3159,12.59,11,8,1.199,64,70.14,0,24,11,29,0,0,0,1,10,0,0,1.00,0.000,2.509,39.005,215.753,141.237,55.640,85.597,9.53,24.75,32,1.000,11,14,38.1,0.000,-95,2,0.000,215.753,1.000,0,38,0000044000000004000000040000004000000004000000400000304000000404
10000,1032337,1,6074,2833,46.93,40,9,0.958,81,90.04,13,29,0,39,6,9,20,0,11,3,5,2.31,0.426,0.022,27.340,313.328,3.034,3.034,0.000,3.82,78.50,20,0.584,11,14,34.3,0.000,-166,1,313.328,0.000,1.000,0,54,000000000040001100044021011000222211002222021002200221040222020044200244000400440
10000,1033011,350,6063,3539,1.16,1,7,1.157,49,56.70,0,2,0,47,0,0,0,0,1,0,0,1.00,0.000,0.042,5.785,311.104,151.654,7.512,144.142,2.46,6.25,38,1.000,11,7,25.6,0.000,-41,2,0.000,311.060,1.000,0,4,0000000000000000000000000000000000400000000000000
10000,1033902,1121,6051,3368,1.07,1,8,1.072,64,68.64,0,33,0,31,0,0,0,0,1,0,0,1.00,0.000,0.000,5.034,277.235,88.446,27.235,61.211,40.26,190.25,36,1.000,12,10,-0.9,0.000,-507,2,0.000,270.700,1.000,0,4,0000000000000000000000000000400000000000000000000000000000000000
10000,1035398,206,6028,3048,17.60,16,8,1.100,64,70.39,0,4,0,60,0,0,0,0,16,0,0,1.00,0.000,1.320,16.863,143.924,129.880,0.896,128.984,0.00,0.00,38,0.954,11,11,28.5,0.000,-27,2,0.000,143.924,1.000,0,48,0040000004000000004000000040004000440400040044440004000400000040
10000,1036023,965,6018,2287,102.81,92,10,1.118,100,111.75,0,13,0,87,0,0,10,0,82,0,0,1.00,0.097,0.622,347.790,412.427,235.521,12.578,222.942,0.00,0.00,8,0.394,11,11,35.5,0.000,-24,2,0.000,412.427,1.000,0,64,4444444444444404444440444444444444444444424444444402444444442244444044202444444402244444442240444044
10000,1036384,1087,6012,2437,79.54,73,11,1.090,95,103.51,0,15,0,80,0,0,14,0,59,0,0,1.00,0.176,0.000,27.873,303.864,31.343,1.325,30.019,6.13,12.25,12,0.449,10,10,12.9,0.000,-29,2,0.000,303.864,1.000,0,70,4444000000040440044044444444444404444444444444040222444444422220404444222000444042200000444420000004444200000000000000000
10000,1038867,1075,5974,3025,30.11,26,8,1.158,64,74.12,0,0,0,64,0,0,0,0,26,0,0,1.00,0.000,0.000,13.545,209.683,54.607,1.290,53.317,0.00,0.00,22,0.729,11,11,27.8,0.000,-99,2,0.000,209.683,1.000,0,50,0000440040444400404004004440040044040000400444004440000004400000
