name,kinds_held,kinds_at,placed,forms,ways,pop,pop_min,pop_end,ms_step,err,blocked,no_room,kills,wood,warm_land,cool_land,btemp_land,open_land,climbed,carried,fat,sighted,land_drift,sea_drift,death_hunger,death_broken,death_wear,death_thirst,death_suffocation,death_cold,pop_land,pop_surface,pop_bottom,heat,wood_food,fat_weight,fresh,light,climb,carry
d09,6,8.333333333333334,4,643,"mixed/no tooth/roams/land, mixed/no tooth/roams/shore, mixed/no tooth/stays/land, plant/no tooth/stays/bottom, plant/no tooth/stays/land, plant/no tooth/stays/shore",11797.692307692309,8417.0,10115.0,48.564076923076925,2.64e-14,0.5681538461538461,0.5785769230769231,0.34804615384615384,0.002419603845833403,0.06916923076923077,0.002131153846153846,25.298846153846153,0.7552846153846153,0.25227692307692307,3.6805115384615386,10.863846153846154,0.02055,0.06422258458802751,-0.0384424264704442,0.3049299611625991,0.06394013081789365,0.0002831614234833418,0.5658538189216247,0.038175796274078785,0.02681713140032047,6218.615384615385,1768.423076923077,3810.653846153846,0.08523,0.02299,0.06748,0.06187,0.9076,0.0001761,0.03505
d16,6,7.666666666666667,3,576,"mixed/no tooth/roams/shore, mixed/no tooth/stays/shore, plant/no tooth/roams/surface, plant/no tooth/stays/bottom, plant/no tooth/stays/land, plant/no tooth/stays/shore",11778.961538461539,8520.0,10475.0,45.759076923076925,4.3e-14,0.5537692307692308,0.5653461538461538,0.35228461538461536,0.0006703520377812285,0.049023076923076926,0.001535,25.08346153846154,0.7940576923076923,0.019519230769230768,2.190130769230769,8.10603846153846,0.021076923076923076,0.06993369221043602,-0.039044819246261256,0.30057741952158407,0.0771607622302563,7.723252158101661e-05,0.5573779862988291,0.04422261210118068,0.0205839873265689,5985.923076923077,1710.3846153846155,4082.653846153846,0.06706,0.04916,0.04468,0.03885,0.1145,1.215e-05,0.02146
d12,6,6,3,536,"mixed/no tooth/roams/shore, mixed/no tooth/stays/land, plant/no tooth/roams/shore, plant/no tooth/stays/land, plant/no tooth/stays/shore, plant/tooth/stays/land",12945.461538461539,10880.0,13223.0,35.02369230769231,3.01e-14,0.5897307692307692,0.6163461538461539,0.3320076923076923,0.0031477433660447407,0.05571538461538462,0.0030415384615384614,26.036538461538463,0.5524038461538462,0.022003846153846155,1.7400923076923076,17.02873076923077,0.03425,0.08204978207185899,-0.05029960620943751,0.38815372716424396,0.0616347634907826,0.0009870193110255306,0.45044164375892526,0.06858982349557918,0.030193022779443465,6709.153846153846,2581.076923076923,3655.230769230769,0.09196,0.02702,0.2251,0.2066,0.6376,1.419e-05,0.01816
d17,5,5.666666666666667,4,210,"mixed/no tooth/stays/bottom, plant/no tooth/stays/bottom, plant/no tooth/stays/land, plant/no tooth/stays/shore, plant/no tooth/stays/surface",4433.884615384615,3195.0,4253.0,15.476346153846155,3.7e-14,0.5463076923076923,0.673,0.23373846153846153,0.00987969789354867,0.3276230769230769,0.004055384615384615,23.60269230769231,0.4305346153846154,0.023746153846153847,4.799665384615385,13.18723076923077,0.06932692307692308,0.02552234278551145,-0.01835162382206163,0.20962418111121758,0.014127249895353704,7.816952195554927e-05,0.7195416240096426,0.02125832757568575,0.03537044788614483,1666.1923076923076,1090.3846153846155,1677.3076923076924,0.214,0.0562,0.02635,0.02816,0.694,0.0001039,0.05239
d00,5,8,2,462,"mixed/no tooth/roams/land, mixed/no tooth/roams/shore, mixed/no tooth/stays/shore, plant/no tooth/stays/land, plant/no tooth/stays/shore",10085.192307692309,7132.0,7892.0,42.1745,3.54e-14,0.5621153846153846,0.5695769230769231,0.34541153846153844,0.0033699407092506713,0.10380769230769231,0.002567307692307692,24.88769230769231,0.6623230769230769,0.014311538461538462,13.039957692307691,10.444192307692308,0.03974615384615385,0.03893097584851278,-0.022487892415321977,0.25560520390368796,0.06505183682839798,0.00015811791035018555,0.5967605593117006,0.04715030475706856,0.035273977288794764,5038.538461538462,1471.2307692307693,3575.423076923077,0.1096,0.09519,0.02505,0.04625,0.2602,1.067e-05,0.1279
d21,5,5.666666666666667,2,500,"mixed/no tooth/roams/shore, plant/no tooth/roams/shore, plant/no tooth/stays/land, plant/no tooth/stays/shore, plant/tooth/stays/land",12151.384615384615,10292.0,12070.0,25.09376923076923,3.13e-14,0.5427307692307692,0.5465769230769231,0.29978846153846156,0.0022106837930007447,0.11931923076923077,0.004681153846153846,25.381923076923076,0.6899576923076923,0.11377307692307692,0.7557307692307692,11.502653846153846,0.03646153846153846,0.07957982373410517,-0.048958623221637326,0.37937924140298507,0.06094624104788703,0.000595987064192664,0.4696358374635631,0.04126160222064255,0.048181090800729624,6310.038461538462,2238.153846153846,3603.1923076923076,0.125,0.07508,0.108,0.4528,0.1643,6.889e-05,0.007204
d10,5,5.333333333333333,2,464,"mixed/no tooth/roams/shore, plant/no tooth/roams/shore, plant/no tooth/stays/land, plant/no tooth/stays/shore, plant/no tooth/stays/surface",14178.153846153846,10623.0,11295.0,45.168461538461536,2.5e-14,0.5378846153846154,0.48846153846153845,0.3194230769230769,0.004986790396610049,0.03752307692307692,0.0014653846153846154,25.618076923076924,0.9285076923076924,0.04115,0.39387692307692307,7.7776538461538465,0.06288076923076923,0.09300390354543311,-0.05181850449829749,0.5013200268254948,0.087046738776784,0.00015471139353133735,0.34046532937590884,0.05192127646859624,0.019091917159684734,6451.384615384615,2808.923076923077,4917.846153846154,0.05265,0.2236,0.03113,0.1193,0.5782,2.341e-05,0.003488
d06,4,6,3,305,"mixed/no tooth/stays/bottom, plant/no tooth/roams/surface, plant/no tooth/stays/land, plant/no tooth/stays/shore",6335.038461538462,4786.0,6139.0,23.217884615384616,3.49e-14,0.5372307692307693,0.6277307692307692,0.3300461538461539,0.003078168744542754,0.27911153846153847,0.005271923076923077,24.473846153846154,0.5266,0.17555384615384614,0.3282653846153846,14.535038461538461,0.04439615384615385,0.037570086095633115,-0.026413993293694284,0.22846159718208486,0.02628272936455141,0.00015485446951438948,0.6556298323863946,0.02893270373722723,0.060538282860227485,3088.1153846153848,1262.8846153846155,1984.0384615384614,0.2213,0.2817,0.2038,0.0751,0.135,0.0002442,0.00379
d13,4,5.666666666666667,3,199,"mixed/no tooth/stays/bottom, plant/no tooth/stays/bottom, plant/no tooth/stays/land, plant/no tooth/stays/shore",5124.692307692308,3967.0,5082.0,17.62507692307692,3.89e-14,0.5612307692307692,0.6447692307692308,0.29318846153846156,0.004427438494811637,0.19254230769230768,0.0031734615384615386,23.97153846153846,0.4861115384615385,0.024907692307692308,1.1242038461538462,14.183346153846154,0.048799999999999996,0.02960933211344922,-0.021352366592583164,0.19951470899235332,0.01703341755432625,0.00013851323357907066,0.729477471193576,0.025146335521100387,0.028689553505065007,2367.9615384615386,1065.3846153846155,1691.3461538461538,0.1742,0.1536,0.05033,0.02356,0.1387,4.768e-05,0.01297
d18,4,6,2,372,"plant/no tooth/roams/shore, plant/no tooth/stays/land, plant/no tooth/stays/shore, plant/tooth/stays/land",11082.23076923077,8466.0,9943.0,29.6315,3.59e-14,0.5701153846153846,0.577,0.30482692307692305,0.002518995444932517,0.08594230769230769,0.0031646153846153846,25.176923076923078,0.6790384615384616,0.40081538461538463,15.725496153846153,9.840576923076924,0.0321,0.05579321083312146,-0.029882015801758335,0.33603445873743265,0.05731592735169147,0.0002889405763849759,0.5012590534142001,0.07100525926754593,0.0340963606527449,5733.7692307692305,1981.3076923076924,3367.153846153846,0.09833,0.1074,0.08518,0.09963,0.3041,0.0002836,0.143
