step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,medium,algae,detritus,water,drank,open_soft,breath,inhaled,breed,share,store,kids,btemp,warmed,cooled,wood,load,cells
10000,7812,756,10000,2777,147.19,49,10,1.502,85,229.79,68,0,0,17,0,49,0,0,0,0,0,8.92,0.000,0.000,11.051,196.455,164.317,132.063,32.253,0.00,0.00,19,0.330,11,11,33.0,0.000,-4,2,0.000,166.625,1.000,2777,0,1.000,2777,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000001100000011101010000011011101111111110110010111110110011110101011011111111011
10000,13169,0,10000,2353,248.79,96,11,1.323,121,303.04,108,0,0,13,0,92,0,0,4,0,0,13.00,0.000,0.000,94.093,272.239,112.211,103.046,9.165,0.00,0.00,18,0.254,1,1,-14.1,0.607,95,0,0.000,0.000,0.662,0,6,1.000,2353,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1111110000001101111400111011111001111111011111111104101110111440111101111111010111111111111111101111111010111111110111011
10000,20924,0,10000,2580,182.02,86,11,1.198,121,255.07,92,0,0,29,0,66,0,0,20,0,0,7.93,0.000,0.000,25.309,298.709,65.035,51.257,13.778,0.00,0.00,35,0.296,7,3,17.3,0.320,324,0,0.000,0.000,0.647,0,22,1.000,2580,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,0110111111111000111010010140111110110444411111400440111114444441111144044010101140400101010100111111010101111101100011011
10000,1096115,1,7335,2632,94.47,39,8,1.211,61,136.87,52,0,0,9,0,39,0,0,0,0,0,10.22,0.000,0.000,9.076,124.710,82.245,69.910,12.335,0.00,0.00,13,0.412,7,7,19.4,0.596,358,0,0.000,0.000,0.032,0,0,1.000,2632,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1010001011101111000111110001101000011111000100110111011101111111
10000,1148232,1,6820,2798,60.05,36,8,1.001,64,106.09,42,0,0,22,0,24,0,0,12,0,0,4.91,0.000,0.893,68.885,147.031,122.527,77.701,44.826,0.00,0.00,22,0.516,11,11,37.3,0.000,-4,2,0.000,147.031,1.000,2798,18,1.000,2798,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1000011110111001110040111104440014004401144004101140040100000110
10000,1235571,394,5917,2711,61.52,38,7,1.619,49,79.33,0,0,0,49,0,0,0,0,38,0,0,1.00,0.000,1.718,133.804,231.897,165.437,28.576,136.861,0.00,0.00,11,0.510,11,11,26.6,0.000,-10,2,0.000,231.897,1.000,2711,54,1.000,2711,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,4440440404044444044004444444404404444444444444004
10000,1281959,856,5287,2635,38.46,24,7,1.603,43,68.92,0,26,0,17,0,0,17,0,7,0,0,1.00,0.442,3.011,38.423,196.574,114.564,101.088,13.476,174.50,337.50,14,0.645,10,10,16.3,0.000,-55,2,0.000,176.710,1.000,2180,46,1.000,557,0.1000,0.5000,5.000,8,22.50,0.0000,0.0000,0.000,0.00,2002200222022202202222200020000044400000440000404
10000,1283749,732,5263,1944,100.36,54,9,1.024,81,131.08,47,13,0,21,5,44,9,0,1,2,5,11.69,0.090,0.000,22.078,138.377,70.049,61.785,8.264,36.75,36.75,1,0.399,4,7,11.3,0.405,1382,0,0.000,0.000,0.187,0,6,1.000,1944,0.1000,0.5000,5.000,2,22.50,0.0000,0.0000,0.000,0.00,111111111111111111111222211111222221111400000111000000111000000110100000111110000
10000,1346719,864,4554,2639,24.33,14,6,1.738,36,62.55,0,22,0,14,0,0,8,0,6,0,0,1.00,0.329,0.000,36.656,157.504,85.628,49.191,36.437,216.75,216.75,13,0.811,14,8,38.2,0.000,-662,2,0.000,99.600,1.000,1977,32,1.000,675,0.1000,0.5000,5.000,5,22.50,0.0000,0.0000,0.000,0.00,000200022200020020000002004442044400
10000,1353033,883,4469,2235,42.21,30,9,1.111,61,79.97,11,0,0,50,0,8,0,0,22,0,0,2.17,0.000,0.000,80.251,195.649,43.442,16.186,27.255,0.00,0.00,7,0.616,11,7,36.5,0.000,-12,2,0.000,192.885,1.000,2235,28,1.000,2235,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,000444404000444444000114044001110444010001144000000440000000400000000000000000000
