step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,81,0
10000,hunger,0,0,4,204,0
10000,hunger,0,4,0,5,0
10000,hunger,0,4,4,368,0
10000,hunger,0,4,8,718,0
10000,hunger,0,4,12,388,1
10000,hunger,0,8,0,2,0
10000,hunger,0,8,4,8,0
10000,hunger,0,8,8,116,0
10000,hunger,0,8,12,752,0
10000,hunger,0,8,16,426,0
10000,hunger,0,8,20,61,0
10000,hunger,0,12,4,9,0
10000,hunger,0,12,8,6,0
10000,hunger,0,12,12,50,0
10000,hunger,0,12,16,295,0
10000,hunger,0,12,20,381,0
10000,hunger,0,12,24,206,0
10000,hunger,0,12,28,80,0
10000,hunger,0,16,4,1,0
10000,hunger,0,16,8,4,0
10000,hunger,0,16,12,4,0
10000,hunger,0,16,16,21,0
10000,hunger,0,16,20,70,0
10000,hunger,0,16,24,139,0
10000,hunger,0,16,28,2256,2
10000,hunger,0,16,32,99,0
10000,hunger,0,16,36,18,0
10000,hunger,0,16,40,1,0
10000,hunger,0,20,12,1,0
10000,hunger,0,20,16,3,0
10000,hunger,0,20,20,12,0
10000,hunger,0,20,24,22,0
10000,hunger,0,20,28,50,0
10000,hunger,0,20,32,76,0
10000,hunger,0,20,36,80,0
10000,hunger,0,20,40,84,1
10000,hunger,0,20,44,57,0
10000,hunger,0,24,8,2,0
10000,hunger,0,24,12,1,0
10000,hunger,0,24,20,6,0
10000,hunger,0,24,24,12,0
10000,hunger,0,24,28,43,0
10000,hunger,0,24,32,65,0
10000,hunger,0,24,36,63,0
10000,hunger,0,24,40,131,0
10000,hunger,0,24,44,299,0
10000,hunger,0,24,48,1032,1
10000,hunger,0,24,52,1,0
10000,hunger,0,24,56,1,0
10000,hunger,0,24,60,1,0
10000,hunger,0,28,12,3,0
10000,hunger,0,28,16,1,0
10000,hunger,0,28,20,1,0
10000,hunger,0,28,24,4,0
10000,hunger,0,28,28,4,0
10000,hunger,0,28,32,9,0
10000,hunger,0,28,36,8,0
10000,hunger,0,28,40,12,0
10000,hunger,0,28,44,15,0
10000,hunger,0,28,48,10,0
10000,hunger,0,28,52,6,0
10000,hunger,0,28,56,6,0
10000,hunger,0,28,60,3,0
10000,hunger,0,32,12,5,0
10000,hunger,0,32,16,4,0
10000,hunger,0,32,20,1,0
10000,hunger,0,32,28,1,0
10000,hunger,0,32,32,2,0
10000,hunger,0,32,36,5,0
10000,hunger,0,32,40,3,0
10000,hunger,0,32,44,6,0
10000,hunger,0,32,48,7,0
10000,hunger,0,32,52,15,0
10000,hunger,0,32,56,4,0
10000,hunger,0,32,60,9,0
10000,hunger,0,32,64,16,0
10000,hunger,0,32,68,6,0
10000,hunger,0,36,12,1,0
10000,hunger,0,36,16,13,0
10000,hunger,0,36,20,3,0
10000,hunger,0,36,28,9,0
10000,hunger,0,36,32,12,0
10000,hunger,0,36,36,9,0
10000,hunger,0,36,40,13,0
10000,hunger,0,36,44,20,0
10000,hunger,0,36,48,19,0
10000,hunger,0,36,52,28,0
10000,hunger,0,36,56,14,0
10000,hunger,0,36,60,17,0
10000,hunger,0,36,64,14,0
10000,hunger,0,36,68,65,0
10000,hunger,0,36,72,3,0
10000,hunger,0,36,76,1,0
10000,hunger,0,40,16,2,0
10000,hunger,0,40,20,3,0
10000,hunger,0,40,24,2,0
10000,hunger,0,40,32,1,0
10000,hunger,0,40,48,2,0
10000,hunger,0,40,60,1,0
10000,hunger,0,40,64,4,0
10000,hunger,0,40,68,1,0
10000,hunger,0,40,72,3,0
10000,hunger,0,40,76,1,0
10000,hunger,0,40,84,1,0
10000,hunger,0,44,20,4,0
10000,hunger,0,44,24,1,0
10000,hunger,0,44,32,1,0
10000,hunger,0,44,40,1,0
10000,hunger,0,44,56,1,0
10000,hunger,0,44,64,2,0
10000,hunger,0,44,68,1,0
10000,hunger,0,44,76,2,0
10000,hunger,0,48,16,3,0
10000,hunger,0,48,20,27,0
10000,hunger,0,48,24,14,0
10000,hunger,0,48,28,3,0
10000,hunger,0,48,36,1,0
10000,hunger,0,48,40,5,0
10000,hunger,0,48,48,1,0
10000,hunger,0,48,52,2,0
10000,hunger,0,48,56,6,0
10000,hunger,0,48,60,3,0
10000,hunger,0,48,64,2,0
10000,hunger,0,48,68,4,0
10000,hunger,0,48,72,1,0
10000,hunger,0,48,76,3,0
10000,hunger,0,48,80,2,0
