step,cause,age,size,n,worn
10000,hunger,0,0,12,0
10000,hunger,0,4,29,0
10000,hunger,0,8,51,0
10000,hunger,0,12,118,0
10000,hunger,0,16,2042,2
10000,hunger,0,20,141,0
10000,hunger,0,24,2980,2
10000,hunger,0,28,69,0
10000,hunger,0,32,72,0
10000,hunger,0,36,1305,2
10000,hunger,0,40,38,0
10000,hunger,0,44,22,1
10000,hunger,0,48,540,0
10000,hunger,0,52,12,0
10000,hunger,0,56,12,0
10000,hunger,0,60,15,0
10000,hunger,0,64,199,0
10000,hunger,0,68,4,0
10000,hunger,0,72,6,0
10000,hunger,0,76,7,0
10000,hunger,0,80,69,0
10000,hunger,0,84,2,0
10000,hunger,0,88,2,0
10000,hunger,0,92,3,0
10000,hunger,0,96,5,0
10000,hunger,0,100,43,1
10000,hunger,0,112,1,0
10000,hunger,0,120,17,0
10000,hunger,0,144,2,0
10000,hunger,0,168,1,0
10000,hunger,50,0,123,0
10000,hunger,50,4,182,0
10000,hunger,50,8,294,0
10000,hunger,50,12,424,0
10000,hunger,50,16,4118,4
10000,hunger,50,20,504,2
10000,hunger,50,24,5832,13
10000,hunger,50,28,232,1
10000,hunger,50,32,299,2
10000,hunger,50,36,3178,8
10000,hunger,50,40,148,1
10000,hunger,50,44,138,0
10000,hunger,50,48,1499,6
10000,hunger,50,52,44,1
10000,hunger,50,56,23,0
10000,hunger,50,60,50,1
10000,hunger,50,64,625,0
10000,hunger,50,68,14,0
10000,hunger,50,72,11,0
10000,hunger,50,76,21,0
10000,hunger,50,80,237,0
10000,hunger,50,84,1,0
10000,hunger,50,92,3,0
10000,hunger,50,96,2,0
10000,hunger,50,100,68,1
10000,hunger,50,120,14,0
10000,hunger,50,144,2,0
10000,hunger,50,168,1,0
10000,hunger,100,0,76,0
10000,hunger,100,4,172,0
10000,hunger,100,8,223,0
10000,hunger,100,12,280,1
10000,hunger,100,16,2602,9
10000,hunger,100,20,452,0
10000,hunger,100,24,4594,20
10000,hunger,100,28,209,2
10000,hunger,100,32,362,2
10000,hunger,100,36,2814,16
10000,hunger,100,40,119,1
10000,hunger,100,44,106,1
10000,hunger,100,48,1436,14
10000,hunger,100,52,43,0
10000,hunger,100,56,18,0
10000,hunger,100,60,27,0
10000,hunger,100,64,572,2
10000,hunger,100,68,13,0
10000,hunger,100,72,9,0
10000,hunger,100,76,25,0
10000,hunger,100,80,231,6
10000,hunger,100,92,1,0
10000,hunger,100,96,1,0
10000,hunger,100,100,60,0
10000,hunger,100,120,35,1
10000,hunger,100,144,4,0
10000,hunger,150,0,34,0
10000,hunger,150,4,114,0
10000,hunger,150,8,210,0
10000,hunger,150,12,294,0
10000,hunger,150,16,1846,9
10000,hunger,150,20,459,1
10000,hunger,150,24,3875,28
10000,hunger,150,28,255,1
10000,hunger,150,32,387,4
10000,hunger,150,36,2877,29
10000,hunger,150,40,151,1
10000,hunger,150,44,147,1
10000,hunger,150,48,1656,22
10000,hunger,150,52,46,0
10000,hunger,150,56,31,0
10000,hunger,150,60,35,1
10000,hunger,150,64,700,10
10000,hunger,150,68,15,0
10000,hunger,150,72,6,0
10000,hunger,150,76,28,1
10000,hunger,150,80,311,8
10000,hunger,150,88,2,0
10000,hunger,150,92,2,0
10000,hunger,150,96,2,0
10000,hunger,150,100,90,4
10000,hunger,150,108,1,0
10000,hunger,150,120,42,1
10000,hunger,150,144,11,0
10000,hunger,200,0,17,0
10000,hunger,200,4,116,0
10000,hunger,200,8,169,0
10000,hunger,200,12,258,0
10000,hunger,200,16,1537,9
10000,hunger,200,20,396,0
10000,hunger,200,24,3347,26
10000,hunger,200,28,212,0
10000,hunger,200,32,327,6
10000,hunger,200,36,2665,42
10000,hunger,200,40,147,3
10000,hunger,200,44,143,3
10000,hunger,200,48,1544,28
10000,hunger,200,52,53,1
10000,hunger,200,56,37,1
10000,hunger,200,60,38,1
10000,hunger,200,64,718,25
10000,hunger,200,68,20,0
10000,hunger,200,72,8,0
10000,hunger,200,76,22,2
10000,hunger,200,80,331,6
10000,hunger,200,84,1,0
10000,hunger,200,88,1,0
10000,hunger,200,92,2,0
10000,hunger,200,100,84,3
10000,hunger,200,120,43,3
10000,hunger,200,144,9,0
10000,hunger,200,168,3,0
10000,hunger,250,0,13,0
10000,hunger,250,4,75,0
10000,hunger,250,8,124,0
10000,hunger,250,12,201,3
10000,hunger,250,16,1208,3
10000,hunger,250,20,343,6
10000,hunger,250,24,2682,26
10000,hunger,250,28,182,2
10000,hunger,250,32,282,4
10000,hunger,250,36,2090,35
10000,hunger,250,40,153,6
10000,hunger,250,44,132,6
10000,hunger,250,48,1228,24
10000,hunger,250,52,52,1
10000,hunger,250,56,30,0
10000,hunger,250,60,35,3
10000,hunger,250,64,552,18
10000,hunger,250,68,9,1
10000,hunger,250,72,6,0
10000,hunger,250,76,15,0
10000,hunger,250,80,225,12
10000,hunger,250,84,2,0
10000,hunger,250,88,5,0
10000,hunger,250,92,3,0
10000,hunger,250,96,3,0
10000,hunger,250,100,69,0
10000,hunger,250,108,1,0
10000,hunger,250,120,24,2
10000,hunger,250,144,4,1
10000,hunger,300,0,7,0
10000,hunger,300,4,49,1
10000,hunger,300,8,85,1
10000,hunger,300,12,148,0
10000,hunger,300,16,876,7
10000,hunger,300,20,294,6
10000,hunger,300,24,2006,21
10000,hunger,300,28,152,3
10000,hunger,300,32,215,3
10000,hunger,300,36,1473,29
10000,hunger,300,40,102,2
10000,hunger,300,44,96,0
10000,hunger,300,48,882,15
10000,hunger,300,52,52,2
10000,hunger,300,56,33,2
10000,hunger,300,60,28,0
10000,hunger,300,64,403,9
10000,hunger,300,68,8,0
10000,hunger,300,72,3,0
10000,hunger,300,76,13,0
10000,hunger,300,80,179,4
10000,hunger,300,92,2,0
10000,hunger,300,96,1,0
10000,hunger,300,100,53,3
10000,hunger,300,104,1,0
10000,hunger,300,116,3,0
10000,hunger,300,120,22,4
10000,hunger,300,144,2,0
10000,hunger,300,196,1,1
10000,hunger,350,0,8,0
10000,hunger,350,4,23,0
10000,hunger,350,8,43,0
10000,hunger,350,12,99,4
10000,hunger,350,16,614,8
10000,hunger,350,20,224,7
10000,hunger,350,24,1509,27
10000,hunger,350,28,118,2
10000,hunger,350,32,189,4
10000,hunger,350,36,995,24
10000,hunger,350,40,78,3
10000,hunger,350,44,84,3
10000,hunger,350,48,651,25
10000,hunger,350,52,25,1
10000,hunger,350,56,20,0
10000,hunger,350,60,22,1
10000,hunger,350,64,329,10
10000,hunger,350,68,6,0
10000,hunger,350,72,6,0
10000,hunger,350,76,7,0
10000,hunger,350,80,113,6
10000,hunger,350,88,2,0
10000,hunger,350,92,3,0
10000,hunger,350,96,2,1
10000,hunger,350,100,34,2
10000,hunger,350,120,13,2
10000,hunger,350,144,6,0
10000,hunger,400,0,2,0
10000,hunger,400,4,15,0
10000,hunger,400,8,41,1
10000,hunger,400,12,73,0
10000,hunger,400,16,441,4
10000,hunger,400,20,146,2
10000,hunger,400,24,1067,12
10000,hunger,400,28,64,0
10000,hunger,400,32,102,6
10000,hunger,400,36,716,13
10000,hunger,400,40,52,1
10000,hunger,400,44,58,3
10000,hunger,400,48,403,13
10000,hunger,400,52,21,0
10000,hunger,400,56,15,1
10000,hunger,400,60,13,0
10000,hunger,400,64,228,10
10000,hunger,400,68,2,0
10000,hunger,400,72,4,0
10000,hunger,400,76,6,0
10000,hunger,400,80,90,4
10000,hunger,400,84,2,0
10000,hunger,400,88,2,0
10000,hunger,400,92,4,0
10000,hunger,400,100,29,5
10000,hunger,400,108,1,0
10000,hunger,400,116,1,0
10000,hunger,400,120,8,0
10000,hunger,400,124,1,0
10000,hunger,450,0,3,0
10000,hunger,450,4,9,0
10000,hunger,450,8,23,0
10000,hunger,450,12,49,1
10000,hunger,450,16,365,8
10000,hunger,450,20,101,1
10000,hunger,450,24,755,16
10000,hunger,450,28,43,2
10000,hunger,450,32,81,1
10000,hunger,450,36,507,12
10000,hunger,450,40,29,1
10000,hunger,450,44,32,2
10000,hunger,450,48,312,14
10000,hunger,450,52,21,0
10000,hunger,450,56,14,1
10000,hunger,450,60,13,1
10000,hunger,450,64,123,11
10000,hunger,450,68,3,0
10000,hunger,450,72,1,0
