step,cause,age,size,mass,n,worn
10000,hunger,0,0,0,5,0
10000,hunger,0,4,4,11,0
10000,hunger,0,4,8,1,0
10000,hunger,0,8,4,5,0
10000,hunger,0,8,8,7,0
10000,hunger,0,8,12,4,0
10000,hunger,0,12,8,3,0
10000,hunger,0,12,12,9,0
10000,hunger,0,12,16,4,0
10000,hunger,0,16,12,2,0
10000,hunger,0,16,16,5,0
10000,hunger,0,16,20,1,0
10000,hunger,0,20,8,1,0
10000,hunger,0,20,16,1,0
10000,hunger,0,20,20,6,0
10000,hunger,0,20,24,2,0
10000,hunger,0,20,28,1,0
10000,hunger,0,24,12,2,0
10000,hunger,0,24,20,3,0
10000,hunger,0,24,24,6,0
10000,hunger,0,24,28,5,0
10000,hunger,0,24,32,1,0
10000,hunger,0,28,12,1,0
10000,hunger,0,28,20,3,0
10000,hunger,0,28,24,2,0
10000,hunger,0,28,28,3,0
10000,hunger,0,28,32,4,0
10000,hunger,0,28,36,2,0
10000,hunger,0,32,12,5,0
10000,hunger,0,32,16,1,0
10000,hunger,0,32,32,1,0
10000,hunger,0,36,12,1,0
10000,hunger,0,36,16,7,0
10000,hunger,0,36,20,5,0
10000,hunger,0,36,24,1,0
10000,hunger,0,36,32,2,0
10000,hunger,0,36,36,2,0
10000,hunger,0,40,20,1,0
10000,hunger,0,40,28,1,0
10000,hunger,0,40,44,2,0
10000,hunger,0,44,12,1,0
10000,hunger,0,44,16,4,0
10000,hunger,0,44,24,2,0
10000,hunger,0,44,44,3,0
10000,hunger,0,48,20,13,0
10000,hunger,0,48,24,21,0
10000,hunger,0,48,28,1,0
10000,hunger,0,48,40,2,0
10000,hunger,0,48,44,3,0
10000,hunger,0,48,48,4,0
10000,hunger,0,48,52,2,0
10000,hunger,0,48,60,1,0
10000,hunger,0,52,20,2,0
10000,hunger,0,52,60,1,0
10000,hunger,0,56,24,1,0
10000,hunger,0,56,44,1,0
10000,hunger,0,56,52,1,0
10000,hunger,0,56,56,8,0
10000,hunger,0,56,60,1,0
10000,hunger,0,56,64,1,0
10000,hunger,0,56,76,1,0
10000,hunger,0,60,24,1,0
10000,hunger,0,60,36,1,0
10000,hunger,0,60,48,1,0
10000,hunger,0,60,56,1,0
10000,hunger,0,60,60,1,0
10000,hunger,0,60,64,1,0
10000,hunger,0,64,24,5,0
10000,hunger,0,64,28,1,0
10000,hunger,0,64,32,1,0
10000,hunger,0,64,36,2,0
10000,hunger,0,64,56,1,0
10000,hunger,0,64,60,1,0
10000,hunger,0,64,72,3,0
10000,hunger,0,64,80,1,0
10000,hunger,0,64,84,1,0
10000,hunger,0,64,88,1,0
10000,hunger,0,68,64,1,0
10000,hunger,0,68,68,2,0
10000,hunger,0,68,72,1,0
10000,hunger,0,72,72,1,0
10000,hunger,0,76,76,1,0
10000,hunger,0,76,88,2,0
10000,hunger,0,80,68,2,0
10000,hunger,0,80,80,2,0
10000,hunger,0,80,88,1,0
10000,hunger,0,80,96,1,0
10000,hunger,0,88,84,1,0
10000,hunger,0,92,100,1,0
10000,hunger,0,100,80,1,0
10000,hunger,0,100,100,1,0
10000,hunger,0,100,108,1,0
10000,hunger,0,144,120,1,0
10000,hunger,50,0,0,158,0
10000,hunger,50,0,4,18,0
10000,hunger,50,4,0,67,0
10000,hunger,50,4,4,136,0
10000,hunger,50,4,8,13,0
10000,hunger,50,4,12,5,0
10000,hunger,50,4,16,1,0
10000,hunger,50,8,0,5,0
10000,hunger,50,8,4,44,0
10000,hunger,50,8,8,86,0
10000,hunger,50,8,12,24,0
10000,hunger,50,8,16,6,0
10000,hunger,50,8,20,5,0
10000,hunger,50,12,4,21,0
10000,hunger,50,12,8,24,0
10000,hunger,50,12,12,46,0
10000,hunger,50,12,16,21,0
10000,hunger,50,12,20,2,0
10000,hunger,50,12,24,2,0
10000,hunger,50,12,28,4,0
10000,hunger,50,16,4,6,0
10000,hunger,50,16,8,7,0
10000,hunger,50,16,12,4,0
10000,hunger,50,16,16,39,0
10000,hunger,50,16,20,12,0
10000,hunger,50,16,24,8,0
10000,hunger,50,16,28,1,0
10000,hunger,50,16,32,2,0
10000,hunger,50,20,4,1,0
10000,hunger,50,20,8,6,0
10000,hunger,50,20,12,7,0
10000,hunger,50,20,16,11,0
10000,hunger,50,20,20,74,0
10000,hunger,50,20,24,11,0
10000,hunger,50,20,28,5,0
10000,hunger,50,20,32,1,0
10000,hunger,50,20,36,1,0
10000,hunger,50,24,8,2,0
10000,hunger,50,24,12,7,1
10000,hunger,50,24,16,10,0
10000,hunger,50,24,20,5,0
10000,hunger,50,24,24,46,0
10000,hunger,50,24,28,19,0
10000,hunger,50,24,32,3,0
10000,hunger,50,24,36,3,0
10000,hunger,50,24,40,2,0
10000,hunger,50,24,56,1,0
10000,hunger,50,28,12,5,0
10000,hunger,50,28,16,3,0
10000,hunger,50,28,20,1,0
10000,hunger,50,28,24,7,0
10000,hunger,50,28,28,17,0
10000,hunger,50,28,32,3,0
10000,hunger,50,28,36,3,0
10000,hunger,50,28,40,2,0
10000,hunger,50,28,64,1,0
10000,hunger,50,32,12,3,0
10000,hunger,50,32,16,4,0
10000,hunger,50,32,20,4,0
10000,hunger,50,32,24,5,0
10000,hunger,50,32,28,3,0
10000,hunger,50,32,32,17,0
10000,hunger,50,32,36,7,0
10000,hunger,50,32,40,1,0
10000,hunger,50,32,44,1,0
10000,hunger,50,32,56,1,0
10000,hunger,50,32,60,1,0
10000,hunger,50,36,12,1,0
10000,hunger,50,36,16,6,0
10000,hunger,50,36,20,5,0
10000,hunger,50,36,24,6,0
10000,hunger,50,36,28,3,0
10000,hunger,50,36,32,9,0
10000,hunger,50,36,36,5,0
10000,hunger,50,36,40,9,0
10000,hunger,50,36,44,2,0
10000,hunger,50,36,48,1,0
10000,hunger,50,40,16,1,0
10000,hunger,50,40,20,1,0
10000,hunger,50,40,28,1,0
10000,hunger,50,40,32,1,0
10000,hunger,50,40,36,2,0
10000,hunger,50,40,40,6,0
10000,hunger,50,40,44,6,1
10000,hunger,50,40,48,1,0
10000,hunger,50,40,60,1,0
10000,hunger,50,40,80,1,0
10000,hunger,50,44,16,1,0
10000,hunger,50,44,24,4,0
10000,hunger,50,44,28,2,0
10000,hunger,50,44,36,1,0
10000,hunger,50,44,40,2,0
10000,hunger,50,44,44,2,0
