step,cause,age,size,n,worn
10000,hunger,0,0,9,0
10000,hunger,0,4,27,0
10000,hunger,0,8,49,0
10000,hunger,0,12,117,0
10000,hunger,0,16,133,0
10000,hunger,0,20,137,1
10000,hunger,0,24,398,0
10000,hunger,0,28,88,0
10000,hunger,0,32,135,0
10000,hunger,0,36,520,1
10000,hunger,0,40,60,0
10000,hunger,0,44,60,0
10000,hunger,0,48,415,1
10000,hunger,0,52,22,0
10000,hunger,0,56,16,0
10000,hunger,0,60,15,0
10000,hunger,0,64,170,2
10000,hunger,0,68,3,0
10000,hunger,0,72,2,0
10000,hunger,0,76,6,0
10000,hunger,0,80,53,0
10000,hunger,0,84,4,0
10000,hunger,0,88,4,0
10000,hunger,0,92,2,0
10000,hunger,0,96,4,0
10000,hunger,0,100,40,0
10000,hunger,0,108,1,0
10000,hunger,0,112,1,0
10000,hunger,0,120,10,0
10000,hunger,0,128,1,0
10000,hunger,0,140,1,0
10000,hunger,0,144,6,0
10000,hunger,50,0,174,0
10000,hunger,50,4,256,1
10000,hunger,50,8,254,1
10000,hunger,50,12,503,0
10000,hunger,50,16,582,3
10000,hunger,50,20,750,0
10000,hunger,50,24,2266,6
10000,hunger,50,28,327,0
10000,hunger,50,32,507,1
10000,hunger,50,36,2204,8
10000,hunger,50,40,169,3
10000,hunger,50,44,211,0
10000,hunger,50,48,1260,9
10000,hunger,50,52,47,0
10000,hunger,50,56,40,1
10000,hunger,50,60,70,0
10000,hunger,50,64,445,1
10000,hunger,50,68,8,2
10000,hunger,50,72,13,0
10000,hunger,50,76,8,0
10000,hunger,50,80,151,0
10000,hunger,50,84,2,0
10000,hunger,50,92,4,0
10000,hunger,50,96,1,0
10000,hunger,50,100,39,0
10000,hunger,50,104,1,0
10000,hunger,50,116,1,0
10000,hunger,50,120,18,1
10000,hunger,50,144,12,0
10000,hunger,100,0,134,0
10000,hunger,100,4,207,0
10000,hunger,100,8,175,2
10000,hunger,100,12,365,0
10000,hunger,100,16,420,0
10000,hunger,100,20,512,2
10000,hunger,100,24,1748,7
10000,hunger,100,28,210,4
10000,hunger,100,32,395,4
10000,hunger,100,36,1525,9
10000,hunger,100,40,127,1
10000,hunger,100,44,163,1
10000,hunger,100,48,737,6
10000,hunger,100,52,21,1
10000,hunger,100,56,15,0
10000,hunger,100,60,23,1
10000,hunger,100,64,296,2
10000,hunger,100,68,4,0
10000,hunger,100,72,2,0
10000,hunger,100,76,8,0
10000,hunger,100,80,78,0
10000,hunger,100,84,2,0
10000,hunger,100,92,3,0
10000,hunger,100,96,5,0
10000,hunger,100,100,42,0
10000,hunger,100,112,1,0
10000,hunger,100,116,2,0
10000,hunger,100,120,34,0
10000,hunger,100,124,1,0
10000,hunger,100,140,3,1
10000,hunger,100,144,28,2
10000,hunger,150,0,57,0
10000,hunger,150,4,140,0
10000,hunger,150,8,179,0
10000,hunger,150,12,278,1
10000,hunger,150,16,338,2
10000,hunger,150,20,424,3
10000,hunger,150,24,1190,4
10000,hunger,150,28,185,3
10000,hunger,150,32,305,2
10000,hunger,150,36,1258,13
10000,hunger,150,40,137,3
10000,hunger,150,44,136,1
10000,hunger,150,48,734,9
10000,hunger,150,52,25,0
10000,hunger,150,56,16,0
10000,hunger,150,60,27,2
10000,hunger,150,64,286,6
