step,cause,age,size,n,worn
10000,hunger,0,0,4,0
10000,hunger,0,4,7,0
10000,hunger,0,8,13,0
10000,hunger,0,12,11,0
10000,hunger,0,16,23,0
10000,hunger,0,20,20,0
10000,hunger,0,24,530,1
10000,hunger,0,28,46,0
10000,hunger,0,32,129,1
10000,hunger,0,36,1527,2
10000,hunger,0,40,92,0
10000,hunger,0,44,77,0
10000,hunger,0,48,1419,1
10000,hunger,0,52,18,0
10000,hunger,0,56,22,0
10000,hunger,0,60,17,0
10000,hunger,0,64,420,1
10000,hunger,0,68,3,0
10000,hunger,0,72,1,0
10000,hunger,0,76,3,0
10000,hunger,0,80,81,0
10000,hunger,0,84,1,0
10000,hunger,0,88,2,0
10000,hunger,0,92,4,0
10000,hunger,0,100,41,1
10000,hunger,0,120,14,0
10000,hunger,0,128,1,0
10000,hunger,0,144,1,0
10000,hunger,0,168,3,0
10000,hunger,50,0,144,0
10000,hunger,50,4,134,0
10000,hunger,50,8,137,0
10000,hunger,50,12,85,0
10000,hunger,50,16,86,0
10000,hunger,50,20,123,0
10000,hunger,50,24,1548,3
10000,hunger,50,28,262,2
10000,hunger,50,32,604,1
10000,hunger,50,36,4043,11
10000,hunger,50,40,296,1
10000,hunger,50,44,223,0
10000,hunger,50,48,3194,16
10000,hunger,50,52,49,0
10000,hunger,50,56,61,1
10000,hunger,50,60,50,0
10000,hunger,50,64,776,2
10000,hunger,50,68,13,0
10000,hunger,50,72,8,0
10000,hunger,50,76,10,0
10000,hunger,50,80,190,4
10000,hunger,50,84,1,0
10000,hunger,50,88,1,0
10000,hunger,50,96,1,0
10000,hunger,50,100,21,1
10000,hunger,50,120,1,0
10000,hunger,50,136,1,0
10000,hunger,100,0,103,0
10000,hunger,100,4,119,1
10000,hunger,100,8,91,0
10000,hunger,100,12,42,0
10000,hunger,100,16,55,0
10000,hunger,100,20,73,2
10000,hunger,100,24,1242,6
10000,hunger,100,28,191,1
10000,hunger,100,32,446,3
10000,hunger,100,36,2921,16
10000,hunger,100,40,218,0
10000,hunger,100,44,168,0
10000,hunger,100,48,2470,15
10000,hunger,100,52,22,1
10000,hunger,100,56,25,0
10000,hunger,100,60,35,0
10000,hunger,100,64,480,4
10000,hunger,100,68,2,0
10000,hunger,100,72,3,0
10000,hunger,100,76,8,0
10000,hunger,100,80,89,1
10000,hunger,100,88,1,0
10000,hunger,100,96,1,0
10000,hunger,100,100,14,0
10000,hunger,150,0,36,0
10000,hunger,150,4,123,0
10000,hunger,150,8,137,1
10000,hunger,150,12,68,0
10000,hunger,150,16,68,0
10000,hunger,150,20,76,0
10000,hunger,150,24,1013,7
10000,hunger,150,28,208,2
10000,hunger,150,32,437,3
10000,hunger,150,36,2640,21
10000,hunger,150,40,226,0
10000,hunger,150,44,196,5
10000,hunger,150,48,2419,24
10000,hunger,150,52,30,2
10000,hunger,150,56,46,0
10000,hunger,150,60,42,0
10000,hunger,150,64,566,10
10000,hunger,150,68,3,0
10000,hunger,150,72,5,0
10000,hunger,150,76,4,0
10000,hunger,150,80,81,2
10000,hunger,150,84,1,0
10000,hunger,150,96,3,0
10000,hunger,150,100,13,0
10000,hunger,150,120,1,0
10000,hunger,200,0,30,0
10000,hunger,200,4,118,0
10000,hunger,200,8,158,0
10000,hunger,200,12,81,0
10000,hunger,200,16,63,0
10000,hunger,200,20,73,0
10000,hunger,200,24,921,3
10000,hunger,200,28,159,3
10000,hunger,200,32,416,4
10000,hunger,200,36,2310,31
10000,hunger,200,40,230,5
10000,hunger,200,44,150,4
10000,hunger,200,48,2182,43
10000,hunger,200,52,29,1
10000,hunger,200,56,43,1
10000,hunger,200,60,37,0
10000,hunger,200,64,458,13
10000,hunger,200,68,2,0
10000,hunger,200,72,8,0
10000,hunger,200,76,3,0
10000,hunger,200,80,75,2
10000,hunger,200,92,2,0
10000,hunger,200,100,13,0
10000,hunger,200,112,1,0
10000,hunger,200,120,1,0
10000,hunger,200,144,3,0
10000,hunger,250,0,14,0
10000,hunger,250,4,73,0
10000,hunger,250,8,110,0
10000,hunger,250,12,86,0
10000,hunger,250,16,73,0
10000,hunger,250,20,66,2
10000,hunger,250,24,707,6
10000,hunger,250,28,150,2
10000,hunger,250,32,338,2
10000,hunger,250,36,1746,23
10000,hunger,250,40,183,6
10000,hunger,250,44,128,3
10000,hunger,250,48,1593,28
10000,hunger,250,52,21,0
10000,hunger,250,56,39,1
10000,hunger,250,60,37,1
10000,hunger,250,64,411,9
10000,hunger,250,68,4,1
10000,hunger,250,72,4,0
10000,hunger,250,76,7,0
10000,hunger,250,80,80,7
10000,hunger,250,84,2,0
10000,hunger,250,100,12,2
