step,cause,age,size,n,worn
10000,hunger,0,0,32,0
10000,hunger,0,4,40,0
10000,hunger,0,8,101,0
10000,hunger,0,12,117,0
10000,hunger,0,16,131,1
10000,hunger,0,20,142,0
10000,hunger,0,24,321,0
10000,hunger,0,28,126,0
10000,hunger,0,32,141,0
10000,hunger,0,36,302,1
10000,hunger,0,40,45,0
10000,hunger,0,44,39,0
10000,hunger,0,48,196,0
10000,hunger,0,52,16,0
10000,hunger,0,56,11,0
10000,hunger,0,60,19,0
10000,hunger,0,64,110,0
10000,hunger,0,68,7,0
10000,hunger,0,72,1,0
10000,hunger,0,76,3,0
10000,hunger,0,80,57,0
10000,hunger,0,84,1,0
10000,hunger,0,88,3,0
10000,hunger,0,92,5,0
10000,hunger,0,96,5,0
10000,hunger,0,100,53,1
10000,hunger,0,104,2,0
10000,hunger,0,108,2,0
10000,hunger,0,112,1,0
10000,hunger,0,116,2,0
10000,hunger,0,120,21,0
10000,hunger,0,132,1,0
10000,hunger,0,136,1,0
10000,hunger,0,140,1,0
10000,hunger,0,144,1,0
10000,hunger,0,156,1,0
10000,hunger,50,0,332,0
10000,hunger,50,4,301,0
10000,hunger,50,8,417,0
10000,hunger,50,12,451,0
10000,hunger,50,16,525,1
10000,hunger,50,20,506,2
10000,hunger,50,24,1143,1
10000,hunger,50,28,402,2
10000,hunger,50,32,393,3
10000,hunger,50,36,970,5
10000,hunger,50,40,100,1
10000,hunger,50,44,100,2
10000,hunger,50,48,527,3
10000,hunger,50,52,35,1
10000,hunger,50,56,40,2
10000,hunger,50,60,50,0
10000,hunger,50,64,402,3
10000,hunger,50,68,15,0
10000,hunger,50,72,18,0
10000,hunger,50,76,9,0
10000,hunger,50,80,240,3
10000,hunger,50,84,3,0
10000,hunger,50,88,8,0
10000,hunger,50,92,6,0
10000,hunger,50,96,4,0
10000,hunger,50,100,28,1
10000,hunger,50,108,1,0
10000,hunger,50,116,3,0
10000,hunger,50,120,9,0
10000,hunger,100,0,131,0
10000,hunger,100,4,166,0
10000,hunger,100,8,248,0
10000,hunger,100,12,237,0
10000,hunger,100,16,346,0
10000,hunger,100,20,343,1
10000,hunger,100,24,980,2
10000,hunger,100,28,302,4
10000,hunger,100,32,335,1
10000,hunger,100,36,736,6
10000,hunger,100,40,48,0
10000,hunger,100,44,90,0
10000,hunger,100,48,436,8
10000,hunger,100,52,17,0
10000,hunger,100,56,29,1
10000,hunger,100,60,30,1
10000,hunger,100,64,321,3
10000,hunger,100,68,18,0
10000,hunger,100,72,9,0
10000,hunger,100,76,9,1
10000,hunger,100,80,176,3
10000,hunger,100,84,6,0
10000,hunger,100,88,11,1
10000,hunger,100,92,2,0
10000,hunger,100,96,3,0
10000,hunger,100,100,87,1
10000,hunger,100,116,2,0
10000,hunger,100,120,10,0
10000,hunger,100,132,1,0
10000,hunger,150,0,25,0
10000,hunger,150,4,92,0
10000,hunger,150,8,158,0
10000,hunger,150,12,187,1
10000,hunger,150,16,274,1
10000,hunger,150,20,284,1
10000,hunger,150,24,844,8
10000,hunger,150,28,225,2
10000,hunger,150,32,323,0
10000,hunger,150,36,696,2
10000,hunger,150,40,76,0
10000,hunger,150,44,112,1
10000,hunger,150,48,455,3
10000,hunger,150,52,27,1
10000,hunger,150,56,30,0
10000,hunger,150,60,38,1
10000,hunger,150,64,314,6
10000,hunger,150,68,16,0
10000,hunger,150,72,16,0
10000,hunger,150,76,7,0
10000,hunger,150,80,181,8
10000,hunger,150,84,5,0
10000,hunger,150,88,13,0
10000,hunger,150,92,3,0
10000,hunger,150,96,2,0
10000,hunger,150,100,91,5
10000,hunger,150,120,11,1
10000,hunger,200,0,23,0
10000,hunger,200,4,67,1
10000,hunger,200,8,125,1
10000,hunger,200,12,156,2
10000,hunger,200,16,201,0
10000,hunger,200,20,223,1
10000,hunger,200,24,663,5
10000,hunger,200,28,190,2
10000,hunger,200,32,241,7
10000,hunger,200,36,582,8
10000,hunger,200,40,69,1
10000,hunger,200,44,90,2
10000,hunger,200,48,393,2
10000,hunger,200,52,21,0
10000,hunger,200,56,27,1
10000,hunger,200,60,43,0
10000,hunger,200,64,243,4
10000,hunger,200,68,18,0
10000,hunger,200,72,8,0
