year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,10,0.5371,NaN,20.77,14.25,38.94,10.03,43.06,129.7,127.6,5.9,0.0010,0.4453,0.3366,0.2160,5.52e-15,0.0027,0.0762,0.0240,0.0174,0.0305,0.0359,0.1825,0.0464,0.0384,0.0047,0.0081,0.0197,0.1545,0.1117,0.2473
2,10,0.5388,0.7476,21.34,18.43,33.57,10.02,43.14,155.5,102.6,12.3,0.0028,0.6549,0.1020,0.2369,2.13e-15,0.0741,0.0142,0.0111,0.0317,0.0091,0.0416,0.1921,0.0231,0.0551,0.0024,0.0084,0.0235,0.1084,0.1307,0.2745
3,10,0.5536,0.8877,21.39,21.23,30.00,9.98,43.12,180.6,114.6,21.2,0.0040,0.6040,0.1313,0.2560,1.53e-15,0.0676,0.0183,0.0133,0.0289,0.0108,0.0425,0.1783,0.0307,0.0607,0.0008,0.0087,0.0259,0.0595,0.1593,0.2947
4,11,0.5051,0.9121,21.41,23.10,27.72,9.94,43.12,201.2,124.6,29.0,0.0050,0.5579,0.1514,0.2797,3.66e-16,0.0610,0.0216,0.0164,0.0255,0.0123,0.0441,0.1674,0.0350,0.0668,0.0003,0.0086,0.0276,0.0217,0.1821,0.3097
5,10,0.4633,0.9396,21.43,24.35,26.19,9.92,43.12,216.4,131.8,36.1,0.0059,0.5249,0.1625,0.2996,1.04e-15,0.0556,0.0243,0.0190,0.0231,0.0128,0.0456,0.1601,0.0368,0.0718,0.0002,0.0083,0.0289,0.0000,0.1918,0.3217
6,11,0.4648,0.9731,21.44,25.20,25.16,9.93,43.12,227.3,136.8,41.6,0.0067,0.5038,0.1691,0.3123,1.32e-15,0.0521,0.0261,0.0207,0.0215,0.0130,0.0467,0.1556,0.0379,0.0747,0.0002,0.0080,0.0299,0.0000,0.1825,0.3311
7,11,0.4704,0.9819,21.44,25.76,24.48,9.97,43.12,234.7,140.2,45.0,0.0073,0.4911,0.1724,0.3205,1.23e-15,0.0501,0.0268,0.0220,0.0206,0.0131,0.0473,0.1527,0.0386,0.0766,0.0003,0.0078,0.0307,0.0000,0.1755,0.3380
8,11,0.4724,0.9860,21.45,26.14,24.03,10.02,43.13,240.0,142.6,47.5,0.0079,0.4823,0.1741,0.3263,8.56e-16,0.0486,0.0273,0.0229,0.0200,0.0130,0.0477,0.1508,0.0388,0.0779,0.0003,0.0077,0.0313,0.0000,0.1696,0.3439
9,10,0.4762,0.9897,21.45,26.39,23.75,10.05,43.13,244.6,145.5,49.5,0.0085,0.4758,0.1748,0.3308,1.42e-16,0.0477,0.0276,0.0235,0.0196,0.0130,0.0480,0.1492,0.0389,0.0790,0.0004,0.0077,0.0318,0.0000,0.1655,0.3480
10,10,0.4809,0.9917,21.45,26.56,23.57,10.05,43.13,247.7,147.2,51.2,0.0090,0.4698,0.1760,0.3345,1.55e-15,0.0467,0.0280,0.0241,0.0191,0.0130,0.0484,0.1480,0.0391,0.0797,0.0004,0.0078,0.0323,0.0000,0.1628,0.3508
11,10,0.4811,0.9940,21.45,26.68,23.45,10.03,43.12,249.7,148.4,52.3,0.0095,0.4663,0.1762,0.3366,2.14e-15,0.0462,0.0280,0.0244,0.0188,0.0129,0.0487,0.1472,0.0392,0.0800,0.0004,0.0078,0.0327,0.0000,0.1604,0.3531
12,10,0.4834,0.9958,21.45,26.76,23.37,9.99,43.11,251.1,149.3,53.0,0.0099,0.4638,0.1763,0.3381,5.39e-16,0.0459,0.0281,0.0247,0.0185,0.0129,0.0488,0.1467,0.0392,0.0803,0.0005,0.0079,0.0330,0.0000,0.1591,0.3544
13,10,0.4835,0.9966,21.45,26.81,23.31,9.95,43.11,252.3,150.2,53.5,0.0103,0.4619,0.1765,0.3390,1.70e-16,0.0456,0.0281,0.0248,0.0183,0.0129,0.0489,0.1462,0.0393,0.0805,0.0005,0.0080,0.0333,0.0000,0.1579,0.3556
14,10,0.4837,0.9966,21.45,26.84,23.28,9.92,43.11,253.8,151.7,54.5,0.0106,0.4598,0.1766,0.3402,1.03e-15,0.0454,0.0282,0.0250,0.0182,0.0129,0.0490,0.1457,0.0393,0.0808,0.0005,0.0080,0.0335,0.0000,0.1567,0.3568
15,10,0.4860,0.9962,21.45,26.87,23.25,9.93,43.12,255.1,152.8,56.8,0.0110,0.4565,0.1771,0.3421,6.52e-16,0.0449,0.0281,0.0255,0.0177,0.0130,0.0492,0.1451,0.0394,0.0810,0.0006,0.0081,0.0338,0.0000,0.1561,0.3574
16,10,0.4859,0.9980,21.45,26.88,23.23,9.96,43.12,255.9,153.5,58.4,0.0113,0.4548,0.1773,0.3429,3.92e-16,0.0448,0.0281,0.0256,0.0174,0.0131,0.0493,0.1447,0.0394,0.0812,0.0006,0.0082,0.0340,0.0000,0.1561,0.3574
17,10,0.4859,0.9988,21.45,26.89,23.22,10.01,43.13,256.3,153.9,59.1,0.0117,0.4541,0.1773,0.3430,8.72e-16,0.0448,0.0281,0.0257,0.0173,0.0131,0.0492,0.1445,0.0395,0.0812,0.0006,0.0083,0.0342,0.0000,0.1561,0.3574
18,10,0.4857,0.9989,21.45,26.90,23.21,10.04,43.13,256.6,154.2,60.3,0.0120,0.4535,0.1772,0.3429,6.18e-16,0.0447,0.0281,0.0257,0.0173,0.0131,0.0492,0.1444,0.0395,0.0811,0.0006,0.0084,0.0344,0.0000,0.1561,0.3574
19,10,0.4857,0.9989,21.45,26.90,23.21,10.05,43.13,257.0,154.5,62.5,0.0123,0.4530,0.1772,0.3428,7.51e-16,0.0447,0.0281,0.0257,0.0172,0.0131,0.0492,0.1442,0.0394,0.0811,0.0006,0.0085,0.0346,0.0000,0.1561,0.3574
20,10,0.4856,0.9989,21.45,26.91,23.21,10.03,43.12,257.5,155.0,63.9,0.0125,0.4524,0.1771,0.3430,4.03e-16,0.0447,0.0280,0.0257,0.0171,0.0132,0.0492,0.1440,0.0394,0.0811,0.0006,0.0086,0.0348,0.0000,0.1561,0.3574
