step,cause,age,size,n,worn
10000,hunger,0,0,21,0
10000,hunger,0,4,35,0
10000,hunger,0,8,53,0
10000,hunger,0,12,115,0
10000,hunger,0,16,519,0
10000,hunger,0,20,283,0
10000,hunger,0,24,3926,5
10000,hunger,0,28,249,0
10000,hunger,0,32,293,1
10000,hunger,0,36,2655,3
10000,hunger,0,40,70,0
10000,hunger,0,44,106,0
10000,hunger,0,48,950,1
10000,hunger,0,52,16,0
10000,hunger,0,56,13,0
10000,hunger,0,60,23,0
10000,hunger,0,64,217,1
10000,hunger,0,68,4,0
10000,hunger,0,72,11,0
10000,hunger,0,76,12,0
10000,hunger,0,80,48,1
10000,hunger,0,84,3,0
10000,hunger,0,88,2,0
10000,hunger,0,92,4,0
10000,hunger,0,96,6,0
10000,hunger,0,100,48,0
10000,hunger,0,108,2,0
10000,hunger,0,112,1,0
10000,hunger,0,120,9,0
10000,hunger,0,128,1,0
10000,hunger,0,140,1,0
10000,hunger,0,144,6,0
10000,hunger,0,168,1,0
10000,hunger,50,0,178,0
10000,hunger,50,4,321,0
10000,hunger,50,8,411,0
10000,hunger,50,12,617,0
10000,hunger,50,16,1661,3
10000,hunger,50,20,999,2
10000,hunger,50,24,9946,23
10000,hunger,50,28,747,1
10000,hunger,50,32,974,3
10000,hunger,50,36,7604,26
10000,hunger,50,40,182,1
10000,hunger,50,44,216,1
10000,hunger,50,48,2631,23
10000,hunger,50,52,40,0
10000,hunger,50,56,45,1
10000,hunger,50,60,61,0
10000,hunger,50,64,453,4
10000,hunger,50,68,15,0
10000,hunger,50,72,12,0
10000,hunger,50,76,13,0
10000,hunger,50,80,148,0
10000,hunger,50,84,3,0
10000,hunger,50,88,1,0
10000,hunger,50,100,9,1
10000,hunger,50,120,2,0
10000,hunger,50,136,1,0
10000,hunger,100,0,138,0
10000,hunger,100,4,219,0
10000,hunger,100,8,261,3
10000,hunger,100,12,326,0
10000,hunger,100,16,771,4
10000,hunger,100,20,617,4
10000,hunger,100,24,6647,27
10000,hunger,100,28,550,1
10000,hunger,100,32,738,6
10000,hunger,100,36,5887,27
10000,hunger,100,40,111,1
10000,hunger,100,44,198,0
10000,hunger,100,48,2103,13
10000,hunger,100,52,27,1
10000,hunger,100,56,18,0
10000,hunger,100,60,29,0
10000,hunger,100,64,334,4
10000,hunger,100,68,7,0
10000,hunger,100,72,5,0
10000,hunger,100,76,10,0
10000,hunger,100,80,76,1
10000,hunger,100,84,2,0
10000,hunger,100,88,1,0
10000,hunger,100,92,2,0
10000,hunger,100,100,8,0
10000,hunger,100,120,4,0
10000,hunger,100,144,3,0
10000,hunger,150,0,64,0
10000,hunger,150,4,145,0
10000,hunger,150,8,220,0
10000,hunger,150,12,242,2
