reading,run,from,to,items,thresholds
batch,control seed9,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,control seed10,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,control seed11,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,control seed12,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,control seed13,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,control seed14,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed9,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed10,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed11,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed12,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed13,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,e100 seed14,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed9,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed10,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed11,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed12,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed13,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
batch,unit seed14,50000,100000,51,"kinds by birth form (e068); a place is not `shore`; a line holds 5% of the land's bodies; the log's second half from 50,000 (51 rows); a replay's way holds 5%"
