group,law,param,seed,kinds_ctl,kinds_run,placed_ctl,placed_at,top_ctl,top_run
e069,life history from the genome,history=1,9,6,4.166666666666667,3,2,0.2815361139369278,0.5053538089147923
e069,life history from the genome,history=1,10,6.166666666666667,4.5,3.6666666666666665,2.5,0.2741294196642239,0.45931375046659745
e069,life history from the genome,history=1,11,6,6.5,3,3.3333333333333335,0.23710284876579996,0.28234358026447415
e078,"the crown's shade (heat 2.5, dry 2.5)",shade_heat=2.5 shade_dry=2.5,9,7.08,7.12,4.44,4.04,0.18543837902144233,0.21056481292450868
e078b,"the crown's shade (heat 5, dry 5)",shade_heat=5 shade_dry=5,9,7.08,7.28,4.44,4.4,0.18543837902144233,0.1714678141441917
e079,"the crown's ground and wood's rest (S1+S2), with no crown_cool",crown_wet=1 wood_rest=1,9,7.08,7,4.44,4.32,0.18543837902144233,0.20703482514490246
e080,the crown's cooling (S3) over S1+S2,crown_cool=0.1,9,7,5.84,4.32,3.72,0.20703482514490246,0.26691156760035645
e081,the body's water part of the land's (W1+W2),unit=9.4,9,7.450980392156863,7.333333333333333,4.745098039215686,3.7254901960784315,0.17994184376166888,0.20248800887363824
e081,the body's water part of the land's (W1+W2),unit=9.4,10,8.27450980392157,6.215686274509804,4.647058823529412,4.450980392156863,0.17234773616208515,0.23834505342522913
e081,the body's water part of the land's (W1+W2),unit=9.4,11,7.254901960784314,6.9411764705882355,4.470588235294118,4.235294117647059,0.19686088680657837,0.21946540006586163
e082,fresh water (0.2) under W1,fresh=0.2,9,7.333333333333333,6.901960784313726,3.7254901960784315,4.019607843137255,0.20248800887363824,0.21874084764572857
e082,fresh water (0.2) under W1,fresh=0.2,10,6.215686274509804,6.1568627450980395,4.450980392156863,3.215686274509804,0.23834505342522913,0.24997836341956375
e082,fresh water (0.2) under W1,fresh=0.2,11,6.9411764705882355,5.803921568627451,4.235294117647059,2.9411764705882355,0.21946540006586163,0.24817533489919505
e087,the year and torpor (Y+Q),not carried,9,7.450980392156863,8.058823529411764,4.745098039215686,3.8627450980392157,0.17994184376166888,0.17327951809481168
e087,the year and torpor (Y+Q),not carried,10,8.27450980392157,7.235294117647059,4.647058823529412,3.8627450980392157,0.17234773616208515,0.20261341179752426
e087,the year and torpor (Y+Q),not carried,11,7.254901960784314,6.705882352941177,4.470588235294118,1.9019607843137254,0.19686088680657837,0.22728387290954638
