step,cause,age,size,n,worn
10000,hunger,0,0,4,0
10000,hunger,0,4,5,0
10000,hunger,0,8,16,0
10000,hunger,0,12,40,0
10000,hunger,0,16,53,0
10000,hunger,0,20,52,0
10000,hunger,0,24,171,0
10000,hunger,0,28,29,0
10000,hunger,0,32,53,0
10000,hunger,0,36,278,1
10000,hunger,0,40,18,0
10000,hunger,0,44,38,0
10000,hunger,0,48,282,1
10000,hunger,0,52,9,0
10000,hunger,0,56,5,0
10000,hunger,0,60,3,0
10000,hunger,0,64,56,0
10000,hunger,0,68,1,0
10000,hunger,0,72,1,0
10000,hunger,0,76,1,0
10000,hunger,0,80,15,0
10000,hunger,0,84,1,0
10000,hunger,0,92,1,0
10000,hunger,0,96,5,0
10000,hunger,0,100,30,0
10000,hunger,0,120,13,0
10000,hunger,0,144,2,0
10000,hunger,0,168,1,0
10000,hunger,50,0,87,0
10000,hunger,50,4,99,0
10000,hunger,50,8,135,0
10000,hunger,50,12,167,0
10000,hunger,50,16,261,0
10000,hunger,50,20,254,1
10000,hunger,50,24,1060,3
10000,hunger,50,28,118,0
10000,hunger,50,32,216,1
10000,hunger,50,36,1688,6
10000,hunger,50,40,129,2
10000,hunger,50,44,131,0
10000,hunger,50,48,1121,5
10000,hunger,50,52,18,0
10000,hunger,50,56,18,0
10000,hunger,50,60,22,0
10000,hunger,50,64,315,2
10000,hunger,50,68,6,0
10000,hunger,50,72,8,0
10000,hunger,50,76,8,0
10000,hunger,50,80,113,1
10000,hunger,50,84,1,0
10000,hunger,50,88,1,0
10000,hunger,50,92,1,0
10000,hunger,50,100,12,1
10000,hunger,50,104,1,0
10000,hunger,100,0,25,0
10000,hunger,100,4,91,0
10000,hunger,100,8,60,0
10000,hunger,100,12,78,0
10000,hunger,100,16,170,0
10000,hunger,100,20,268,1
10000,hunger,100,24,1114,5
10000,hunger,100,28,132,0
10000,hunger,100,32,226,1
10000,hunger,100,36,1636,12
10000,hunger,100,40,104,1
10000,hunger,100,44,78,0
10000,hunger,100,48,1025,7
10000,hunger,100,52,7,0
10000,hunger,100,56,11,0
10000,hunger,100,60,21,1
10000,hunger,100,64,258,2
10000,hunger,100,68,2,0
10000,hunger,100,72,9,0
10000,hunger,100,76,2,0
10000,hunger,100,80,55,0
10000,hunger,100,92,2,0
10000,hunger,100,96,3,0
10000,hunger,100,100,16,0
10000,hunger,100,104,1,0
10000,hunger,100,120,4,0
10000,hunger,150,0,14,0
10000,hunger,150,4,57,0
10000,hunger,150,8,26,0
10000,hunger,150,12,56,0
10000,hunger,150,16,172,0
10000,hunger,150,20,234,2
10000,hunger,150,24,1131,7
10000,hunger,150,28,127,0
10000,hunger,150,32,243,2
10000,hunger,150,36,1604,11
10000,hunger,150,40,116,1
10000,hunger,150,44,112,1
10000,hunger,150,48,1208,23
10000,hunger,150,52,18,1
10000,hunger,150,56,11,0
10000,hunger,150,60,13,0
10000,hunger,150,64,274,6
10000,hunger,150,68,2,0
10000,hunger,150,72,18,0
10000,hunger,150,76,1,0
10000,hunger,150,80,51,0
10000,hunger,150,96,4,0
10000,hunger,150,100,16,0
10000,hunger,150,104,1,0
10000,hunger,150,120,6,0
10000,hunger,200,0,7,0
10000,hunger,200,4,35,0
10000,hunger,200,8,30,0
10000,hunger,200,12,65,0
10000,hunger,200,16,115,0
10000,hunger,200,20,162,2
10000,hunger,200,24,840,7
10000,hunger,200,28,106,1
10000,hunger,200,32,186,2
10000,hunger,200,36,1339,20
10000,hunger,200,40,120,2
10000,hunger,200,44,94,0
10000,hunger,200,48,954,13
10000,hunger,200,52,19,0
