step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,2,537,32.5,4.7,1.0,24.2,4.5,117,130,30.66,1.78
5000,1,152,36.1,0.6,0.6,26.6,0.6,23,132,30.15,0.79
6000,2,547,32.6,4.3,0.8,24.7,4.0,128,149,34.30,1.69
6000,1,213,34.6,0.5,0.2,28.5,0.4,32,130,30.33,0.19
7000,1,409,32.4,2.5,0.2,28.6,1.5,61,108,27.86,0.62
7000,2,213,35.5,4.0,0.5,22.0,3.7,45,185,41.34,1.44
8000,1,395,33.8,0.1,0.6,29.2,0.1,60,148,36.34,0.03
8000,2,177,34.2,5.8,0.1,22.7,5.4,55,204,43.47,2.67
9000,1,378,34.3,0.2,0.2,29.1,0.1,52,121,31.28,0.06
9000,2,276,34.3,6.0,0.5,22.6,5.4,76,162,36.13,1.96
10000,1,421,33.7,0.5,0.7,28.6,0.4,68,157,39.55,0.16
10000,2,171,34.2,4.6,0.0,23.4,4.3,56,179,40.82,0.89
11000,1,410,34.4,1.4,0.4,27.5,1.4,55,164,38.59,0.73
11000,2,210,31.8,2.3,0.6,25.9,2.1,84,179,39.70,0.46
12000,1,392,33.2,2.8,0.6,27.2,2.6,71,172,39.21,1.17
12000,2,209,34.5,3.2,0.2,23.6,2.8,69,152,34.85,0.77
12000,17,6,38.5,1.3,0.0,22.3,1.3,4,327,67.08,0.00
13000,1,429,31.5,0.9,0.5,30.3,0.7,75,169,38.43,0.22
13000,2,215,36.8,4.0,0.3,21.0,3.6,73,212,47.10,1.44
13000,17,9,36.7,1.3,0.0,22.2,1.3,3,476,101.52,0.69
14000,1,413,36.0,1.1,0.7,26.0,1.0,70,200,44.07,0.40
14000,2,181,37.6,3.0,0.2,20.3,2.8,66,238,52.28,0.93
14000,20,176,35.0,0.2,0.2,24.0,0.1,60,136,31.17,0.01
14000,21,44,21.0,21.0,0.0,22.0,17.0,1,273,54.71,13.09
14000,17,5,37.0,1.0,0.0,23.0,1.0,1,464,94.68,0.53
15000,1,422,35.1,1.4,0.7,26.6,1.2,86,238,52.84,0.30
15000,2,219,37.4,2.2,0.7,21.6,2.1,77,188,43.16,0.97
15000,20,185,34.8,0.7,0.1,23.8,0.7,63,139,30.70,0.09
15000,21,13,21.0,20.8,0.0,22.2,17.0,2,172,34.24,11.71
15000,17,5,35.0,1.0,0.0,15.0,1.0,1,248,42.43,0.00
16000,1,399,34.5,2.3,0.8,26.2,2.0,72,224,49.37,0.69
16000,2,376,33.8,1.5,0.9,22.1,1.4,147,131,29.00,0.48
16000,20,81,34.7,0.4,0.1,26.8,0.4,32,197,42.76,0.09
17000,1,351,32.5,3.3,0.7,27.4,3.2,52,221,48.20,1.20
17000,2,350,33.8,1.3,0.4,22.1,1.1,121,151,33.12,0.47
17000,20,18,33.4,3.1,0.0,24.3,3.1,9,114,27.33,0.32
18000,2,426,33.5,0.8,0.3,22.4,0.8,153,146,31.94,0.32
18000,1,369,31.8,4.5,0.5,27.1,4.3,42,257,55.66,1.58
18000,20,9,35.8,2.8,1.0,23.4,2.8,6,197,41.40,0.00
19000,2,455,31.8,0.7,0.4,21.9,0.6,185,161,35.29,0.10
19000,1,156,32.3,2.6,0.3,28.5,2.4,18,227,51.62,0.90
19000,20,6,33.7,7.0,0.0,23.3,6.7,3,257,61.19,1.55
20000,2,494,33.5,0.5,0.3,22.5,0.5,169,171,37.81,0.06
20000,1,92,33.5,0.5,0.3,29.7,0.2,13,208,47.53,0.16
20000,24,20,37.2,2.2,0.1,22.4,2.2,9,166,37.48,0.50
20000,20,11,35.4,3.3,0.0,25.2,3.3,3,222,47.86,0.94
21000,2,421,33.1,1.4,0.3,21.3,1.3,156,142,31.02,0.41
21000,1,367,33.6,3.9,0.6,25.8,3.6,43,242,52.27,1.38
21000,20,15,32.9,7.2,0.7,23.0,6.3,4,236,51.49,0.28
21000,24,7,36.3,2.3,0.0,22.9,2.3,4,144,35.78,0.76
22000,2,349,37.8,3.3,0.2,20.6,3.1,141,136,31.42,1.07
22000,1,228,26.2,14.4,0.1,23.3,13.1,10,234,48.60,4.56
22000,24,56,36.4,1.4,0.0,23.3,1.4,19,90,22.59,0.00
23000,2,284,40.8,1.0,0.5,21.0,1.0,80,158,36.92,0.10
23000,1,127,22.4,22.8,0.0,18.8,19.9,3,236,47.31,8.86
24000,2,492,41.0,0.8,0.2,20.5,0.8,129,179,42.64,0.04
24000,1,127,22.0,23.0,0.0,19.0,20.0,1,281,55.90,9.55
24000,24,12,45.2,1.9,0.0,16.0,1.9,2,230,48.96,0.00
25000,2,491,40.6,1.2,0.2,20.3,1.1,124,180,41.88,0.21
25000,1,107,22.5,22.8,0.0,18.7,19.9,3,216,43.85,8.42
25000,24,35,44.8,1.1,0.0,16.1,1.1,7,279,60.18,0.00
26000,2,527,40.7,1.1,0.2,20.3,1.0,141,191,45.02,0.07
26000,33,146,40.9,0.8,0.2,22.0,0.7,19,271,58.05,0.05
26000,1,106,22.3,23.0,0.0,18.7,20.0,3,229,46.25,8.81
26000,24,20,42.4,0.0,0.0,15.2,0.0,7,152,32.17,0.00
27000,2,526,41.0,0.9,0.2,20.2,0.8,148,194,44.94,0.02
27000,33,146,41.1,0.6,0.2,22.0,0.6,23,250,54.90,0.02
27000,1,124,22.2,22.9,0.0,18.9,19.9,3,180,36.18,7.48
27000,24,40,40.8,0.0,0.7,15.1,0.0,15,206,42.90,0.00
28000,2,523,41.1,0.8,0.2,20.0,0.8,141,188,44.08,0.12
28000,1,130,21.8,23.1,0.2,18.9,19.5,4,250,50.13,8.42
28000,33,120,41.0,0.7,0.0,22.1,0.7,19,254,55.41,0.04
28000,24,47,42.1,0.2,0.0,15.3,0.2,16,238,49.21,0.00
29000,2,432,40.3,1.4,0.1,20.7,1.2,130,189,45.03,0.08
29000,33,128,40.6,1.1,0.0,22.3,1.0,16,211,46.61,0.08
29000,1,97,22.3,22.8,0.1,18.8,19.8,3,239,47.86,8.23
29000,24,39,36.1,0.0,0.7,15.2,0.0,17,122,25.39,0.00
30000,2,260,40.1,1.7,0.5,20.8,1.7,79,210,49.81,0.10
30000,33,184,40.3,1.1,0.0,22.6,1.1,13,236,51.17,0.11
30000,1,123,22.4,22.8,0.0,18.7,19.4,5,231,46.10,9.27
30000,24,36,42.2,0.0,0.0,15.9,0.0,9,220,45.93,0.00
31000,2,291,39.9,1.9,0.2,20.9,1.8,65,204,47.93,0.03
31000,33,191,40.4,1.0,0.0,22.7,1.0,10,217,48.15,0.03
31000,1,115,21.9,23.1,0.0,19.1,19.9,2,221,44.00,8.08
31000,24,28,40.4,0.0,0.2,16.6,0.0,9,206,44.10,0.00
32000,2,334,40.4,1.5,0.2,20.2,1.4,80,228,53.52,0.03
32000,33,197,40.7,0.9,0.0,22.4,0.9,15,252,54.93,0.04
32000,1,122,22.1,22.8,0.0,19.1,19.7,4,195,38.22,9.08
32000,24,52,41.7,0.0,0.0,18.8,0.0,14,173,38.82,0.00
33000,2,249,39.9,2.4,0.3,20.2,2.2,65,171,40.43,0.10
33000,33,212,40.4,1.0,0.1,22.5,0.9,19,200,44.01,0.09
33000,38,125,39.9,0.8,0.2,19.2,0.8,29,194,45.81,0.00
33000,1,119,22.0,23.0,0.0,19.0,20.0,1,232,45.94,9.12
33000,24,37,41.3,0.2,0.2,18.1,0.2,13,173,38.18,0.00
34000,2,322,39.9,2.0,0.3,20.5,1.9,102,177,42.04,0.11
34000,33,236,40.5,0.9,0.0,22.4,0.9,21,204,45.05,0.06
34000,38,138,39.6,0.9,0.3,19.3,0.9,36,156,36.75,0.05
34000,1,129,22.6,22.7,0.0,18.7,19.8,5,215,42.58,8.39
34000,24,28,41.8,0.0,0.0,18.8,0.0,7,174,38.09,0.00
35000,2,229,39.5,2.1,0.3,21.0,1.9,68,166,39.78,0.08
35000,33,228,40.3,1.0,0.0,22.6,0.8,16,223,49.87,0.01
35000,38,152,40.7,0.3,0.1,19.3,0.3,40,188,43.93,0.02
35000,1,109,22.3,22.8,0.0,18.9,19.8,3,225,44.51,8.68
35000,24,19,41.9,0.0,0.0,18.1,0.0,6,203,44.89,0.00
36000,2,287,40.0,2.1,0.4,20.4,2.1,74,178,42.57,0.29
36000,33,173,39.5,1.1,0.2,22.0,0.9,22,261,56.52,0.05
36000,1,114,22.2,22.8,0.0,18.9,19.8,3,207,40.48,8.33
36000,38,114,40.5,0.9,0.1,19.2,0.9,27,165,39.55,0.00
37000,2,358,39.5,1.6,0.3,20.7,1.5,123,160,38.34,0.05
37000,33,201,40.1,1.0,0.0,22.9,0.9,13,218,49.11,0.04
37000,38,129,40.3,1.2,0.0,18.4,1.2,38,202,47.21,0.07
37000,1,117,22.3,23.0,0.0,18.7,20.1,2,191,37.57,8.59
38000,2,248,40.0,1.9,0.1,20.7,1.9,64,217,50.76,0.05
38000,1,147,22.1,23.0,0.0,18.9,20.0,2,186,36.89,8.03
38000,33,142,40.8,1.0,0.0,22.2,1.0,10,199,44.31,0.00
38000,38,114,39.8,1.1,0.2,18.7,1.1,32,204,46.93,0.03
39000,2,228,39.5,2.1,0.1,20.0,2.1,65,195,44.53,0.02
39000,33,192,40.7,0.7,0.0,22.5,0.7,23,196,43.18,0.05
39000,38,136,39.5,0.6,0.1,18.0,0.5,27,213,48.32,0.02
39000,1,112,22.2,22.6,0.0,19.1,19.7,3,163,31.55,8.42
40000,2,218,40.0,2.4,0.2,20.0,2.3,70,192,44.09,0.08
40000,33,166,40.8,0.9,0.2,22.0,0.6,20,212,46.71,0.04
40000,38,114,40.2,1.2,0.1,17.8,1.1,29,201,44.83,0.00
40000,1,110,22.0,23.0,0.0,19.0,20.0,1,234,46.40,10.15
41000,2,186,39.8,2.3,0.2,20.3,2.3,44,183,42.98,0.08
41000,33,160,40.7,0.9,0.0,22.4,0.8,21,206,46.32,0.02
41000,1,129,22.4,22.8,0.0,18.8,19.9,3,226,45.15,9.36
41000,38,66,40.3,0.5,0.0,17.7,0.5,17,176,38.59,0.00
42000,43,249,40.6,0.1,0.1,20.6,0.1,62,225,52.40,0.00
42000,2,228,39.6,2.3,0.2,20.3,2.3,65,174,40.58,0.17
42000,33,226,40.5,0.8,0.2,22.3,0.8,30,194,43.26,0.09
42000,1,100,22.2,23.1,0.0,18.7,19.9,3,185,35.97,9.49
42000,38,16,37.6,2.8,1.6,16.3,2.3,9,214,48.29,0.00
43000,2,254,39.6,2.4,0.2,20.6,2.4,59,205,48.40,0.09
43000,43,235,40.8,0.2,0.1,20.1,0.2,58,195,45.50,0.00
43000,33,223,40.6,0.7,0.0,22.4,0.6,29,186,40.90,0.02
43000,1,99,22.0,23.3,0.1,18.7,19.7,5,207,40.47,9.18
43000,38,26,38.0,1.6,0.0,18.6,1.4,10,186,39.00,0.00
44000,2,240,40.4,2.0,0.2,20.5,2.0,51,207,48.87,0.01
44000,33,214,40.6,1.0,0.0,22.1,0.8,23,215,47.20,0.03
44000,43,206,40.6,0.1,0.1,20.9,0.1,44,212,49.64,0.00
44000,1,119,22.3,23.0,0.0,18.7,20.1,2,188,36.76,8.27
44000,38,45,40.2,0.8,0.1,17.0,0.8,14,204,45.06,0.00
45000,2,246,39.5,2.8,0.4,20.4,2.8,61,208,49.47,0.07
45000,33,212,40.4,0.6,0.1,22.9,0.6,24,205,45.84,0.02
45000,43,175,40.5,0.3,0.0,20.7,0.2,39,227,54.35,0.00
45000,1,108,22.3,22.9,0.0,18.8,19.9,2,208,40.98,9.34
45000,38,92,39.6,0.5,0.1,18.6,0.3,12,257,57.04,0.00
46000,43,197,40.6,0.2,0.1,20.6,0.2,36,228,52.88,0.00
46000,33,177,40.9,0.6,0.0,22.4,0.5,23,265,58.44,0.02
46000,2,173,40.4,2.3,0.2,20.2,2.1,49,179,42.18,0.09
46000,38,167,39.1,1.3,0.1,18.8,0.7,32,193,43.41,0.04
46000,1,106,22.5,22.6,0.0,18.9,19.7,3,173,34.55,7.67
